id_custo,id_chamado,custo,hora_da_ingestao
66,19168,0.00012778,2025-11-25T18:28:00.190Z
67,23139,0.00013363,2025-11-25T18:28:00.190Z
68,13673,0.00013384,2025-11-25T18:28:00.190Z
69,11611,0.00013433,2025-11-25T18:28:00.190Z
70,23414,0.00013561,2025-11-25T18:28:00.190Z
71,29732,0.00013948,2025-11-25T18:28:00.190Z
72,26080,0.00013995,2025-11-25T18:28:00.190Z
73,1429,0.00014028,2025-11-25T18:28:00.190Z
74,237,0.00014070,2025-11-25T18:28:00.190Z
75,18702,0.00014140,2025-11-25T18:28:00.190Z
76,17542,0.00014267,2025-11-25T18:28:00.190Z
77,27060,0.00014437,2025-11-25T18:28:00.190Z
78,27181,0.00014487,2025-11-25T18:28:00.190Z
79,25893,0.00014493,2025-11-25T18:28:00.190Z
80,8256,0.00015039,2025-11-25T18:28:00.190Z
81,2189,0.00015286,2025-11-25T18:28:00.190Z
82,10097,0.00015488,2025-11-25T18:28:00.190Z
83,23483,0.00015742,2025-11-25T18:28:00.190Z
84,27189,0.00015824,2025-11-25T18:28:00.190Z
85,10291,0.00016130,2025-11-25T18:28:00.190Z
86,5642,0.00016222,2025-11-25T18:28:00.190Z
87,27407,0.00016709,2025-11-25T18:28:00.190Z
88,7554,0.00016714,2025-11-25T18:28:00.190Z
89,12302,0.00016735,2025-11-25T18:28:00.190Z
90,4256,0.00017346,2025-11-25T18:28:00.190Z
91,4360,0.00017552,2025-11-25T18:28:00.190Z
92,20802,0.00017558,2025-11-25T18:28:00.190Z
93,16800,0.00017919,2025-11-25T18:28:00.190Z
94,22396,0.00018016,2025-11-25T18:28:00.190Z
95,15864,0.00018314,2025-11-25T18:28:00.190Z
96,3146,0.00018355,2025-11-25T18:28:00.190Z
97,5264,0.00018379,2025-11-25T18:28:00.190Z
98,15385,0.00018602,2025-11-25T18:28:00.190Z
99,5870,0.00018887,2025-11-25T18:28:00.190Z
100,8440,0.00019031,2025-11-25T18:28:00.190Z
101,22644,0.00019132,2025-11-25T18:28:00.190Z
102,12519,0.00019136,2025-11-25T18:28:00.190Z
103,19980,0.00019210,2025-11-25T18:28:00.190Z
104,19822,0.00019422,2025-11-25T18:28:00.190Z
105,6404,0.00019526,2025-11-25T18:28:00.190Z
106,2869,0.00020066,2025-11-25T18:28:00.190Z
107,1568,0.00020194,2025-11-25T18:28:00.190Z
108,15185,0.00020209,2025-11-25T18:28:00.190Z
109,7516,0.00020650,2025-11-25T18:28:00.190Z
110,13073,0.00020744,2025-11-25T18:28:00.190Z
111,4201,0.00021190,2025-11-25T18:28:00.190Z
112,8766,0.00021377,2025-11-25T18:28:00.190Z
113,5142,0.00021555,2025-11-25T18:28:00.190Z
114,8900,0.00021562,2025-11-25T18:28:00.190Z
115,901,0.00021821,2025-11-25T18:28:00.190Z
116,18432,0.00022047,2025-11-25T18:28:00.190Z
117,18176,0.00022055,2025-11-25T18:28:00.190Z
118,5927,0.00022285,2025-11-25T18:28:00.190Z
119,16891,0.00022596,2025-11-25T18:28:00.190Z
120,23474,0.00022668,2025-11-25T18:28:00.190Z
121,14650,0.00022677,2025-11-25T18:28:00.190Z
122,12810,0.00022778,2025-11-25T18:28:00.190Z
123,12204,0.00023327,2025-11-25T18:28:00.190Z
124,798,0.00023344,2025-11-25T18:28:00.190Z
125,26565,0.00023389,2025-11-25T18:28:00.190Z
126,28205,0.00023653,2025-11-25T18:28:00.190Z
127,5520,0.00023709,2025-11-25T18:28:00.190Z
128,14057,0.00024751,2025-11-25T18:28:00.190Z
129,15742,0.00024761,2025-11-25T18:28:00.190Z
130,1572,0.00025194,2025-11-25T18:28:00.190Z
131,13434,0.00025352,2025-11-25T18:28:00.190Z
132,26912,0.00025393,2025-11-25T18:28:00.190Z
133,20929,0.00025483,2025-11-25T18:28:00.190Z
134,15330,0.00025773,2025-11-25T18:28:00.190Z
135,8754,0.00025815,2025-11-25T18:28:00.190Z
136,11539,0.00025839,2025-11-25T18:28:00.190Z
137,28601,0.00025900,2025-11-25T18:28:00.190Z
138,24201,0.00025991,2025-11-25T18:28:00.190Z
139,29551,0.00026079,2025-11-25T18:28:00.190Z
140,29359,0.00026101,2025-11-25T18:28:00.190Z
141,23573,0.00026375,2025-11-25T18:28:00.190Z
142,28030,0.00026698,2025-11-25T18:28:00.190Z
143,21464,0.00026714,2025-11-25T18:28:00.190Z
144,22204,0.00026835,2025-11-25T18:28:00.190Z
145,1184,0.00026838,2025-11-25T18:28:00.190Z
146,14801,0.00026984,2025-11-25T18:28:00.190Z
147,1236,0.00027127,2025-11-25T18:28:00.190Z
148,25315,0.00027231,2025-11-25T18:28:00.190Z
149,17685,0.00027411,2025-11-25T18:28:00.190Z
150,2916,0.00027453,2025-11-25T18:28:00.190Z
151,28770,0.00027571,2025-11-25T18:28:00.190Z
152,18873,0.00027807,2025-11-25T18:28:00.190Z
153,11665,0.00027901,2025-11-25T18:28:00.190Z
154,1954,0.00028090,2025-11-25T18:28:00.190Z
155,22642,0.00028106,2025-11-25T18:28:00.190Z
156,8083,0.00028230,2025-11-25T18:28:00.190Z
157,11024,0.00028799,2025-11-25T18:28:00.190Z
158,10932,0.00028938,2025-11-25T18:28:00.190Z
159,4888,0.00029178,2025-11-25T18:28:00.190Z
160,15999,0.00029280,2025-11-25T18:28:00.190Z
161,27219,0.00029535,2025-11-25T18:28:00.190Z
162,6362,0.00029919,2025-11-25T18:28:00.190Z
163,29703,0.00030284,2025-11-25T18:28:00.190Z
164,25717,0.00030726,2025-11-25T18:28:00.190Z
165,27290,0.00030762,2025-11-25T18:28:00.190Z
166,2481,0.00030785,2025-11-25T18:28:00.190Z
167,2097,0.00030822,2025-11-25T18:28:00.190Z
168,18363,0.00031192,2025-11-25T18:28:00.190Z
169,23518,0.00031249,2025-11-25T18:28:00.190Z
170,21357,0.00031831,2025-11-25T18:28:00.190Z
171,25879,0.00031985,2025-11-25T18:28:00.190Z
172,29293,0.00032273,2025-11-25T18:28:00.190Z
173,13938,0.00032411,2025-11-25T18:28:00.190Z
174,13562,0.00033797,2025-11-25T18:28:00.190Z
175,17475,0.00033899,2025-11-25T18:28:00.190Z
176,11496,0.00034775,2025-11-25T18:28:00.190Z
177,20755,0.00034881,2025-11-25T18:28:00.190Z
178,4762,0.00034888,2025-11-25T18:28:00.190Z
179,5861,0.00035090,2025-11-25T18:28:00.190Z
180,16570,0.00035180,2025-11-25T18:28:00.190Z
181,25063,0.00035211,2025-11-25T18:28:00.190Z
182,16091,0.00035315,2025-11-25T18:28:00.190Z
183,6553,0.00035537,2025-11-25T18:28:00.190Z
184,8820,0.00035634,2025-11-25T18:28:00.190Z
185,26980,0.00035809,2025-11-25T18:28:00.190Z
186,3028,0.00036115,2025-11-25T18:28:00.190Z
187,5566,0.00036494,2025-11-25T18:28:00.190Z
188,14292,0.00036511,2025-11-25T18:28:00.190Z
189,7508,0.00036653,2025-11-25T18:28:00.190Z
190,28875,0.00036677,2025-11-25T18:28:00.190Z
191,16602,0.00036685,2025-11-25T18:28:00.190Z
192,7676,0.00036701,2025-11-25T18:28:00.190Z
193,1863,0.00037333,2025-11-25T18:28:00.190Z
194,29750,0.00037561,2025-11-25T18:28:00.190Z
195,26894,0.00037567,2025-11-25T18:28:00.190Z
196,29289,0.00037659,2025-11-25T18:28:00.190Z
197,12210,0.00037690,2025-11-25T18:28:00.190Z
198,5909,0.00037764,2025-11-25T18:28:00.190Z
199,16231,0.00037830,2025-11-25T18:28:00.190Z
200,18530,0.00037956,2025-11-25T18:28:00.190Z
201,17552,0.00038127,2025-11-25T18:28:00.190Z
202,16410,0.00038147,2025-11-25T18:28:00.190Z
203,3910,0.00038322,2025-11-25T18:28:00.190Z
204,5005,0.00038366,2025-11-25T18:28:00.190Z
205,28521,0.00038634,2025-11-25T18:28:00.190Z
206,7176,0.00038762,2025-11-25T18:28:00.190Z
207,5371,0.00039083,2025-11-25T18:28:00.190Z
208,6191,0.00039127,2025-11-25T18:28:00.190Z
209,17627,0.00039410,2025-11-25T18:28:00.190Z
210,14632,0.00039461,2025-11-25T18:28:00.190Z
211,3897,0.00039498,2025-11-25T18:28:00.190Z
212,9667,0.00039660,2025-11-25T18:28:00.190Z
213,27318,0.00039667,2025-11-25T18:28:00.190Z
214,11825,0.00039821,2025-11-25T18:28:00.190Z
215,5692,0.00039879,2025-11-25T18:28:00.190Z
216,27523,0.00039892,2025-11-25T18:28:00.190Z
217,20780,0.00040403,2025-11-25T18:28:00.190Z
218,14604,0.00040588,2025-11-25T18:28:00.190Z
219,6849,0.00040697,2025-11-25T18:28:00.190Z
220,27299,0.00040935,2025-11-25T18:28:00.190Z
221,24345,0.00041124,2025-11-25T18:28:00.190Z
222,18931,0.00041538,2025-11-25T18:28:00.190Z
223,4975,0.00041619,2025-11-25T18:28:00.190Z
224,10317,0.00041643,2025-11-25T18:28:00.190Z
225,9174,0.00041737,2025-11-25T18:28:00.190Z
226,1788,0.00041862,2025-11-25T18:28:00.190Z
227,17601,0.00042069,2025-11-25T18:28:00.190Z
228,7326,0.00042279,2025-11-25T18:28:00.190Z
229,15031,0.00043034,2025-11-25T18:28:00.190Z
230,28322,0.00043217,2025-11-25T18:28:00.190Z
231,17792,0.00043289,2025-11-25T18:28:00.190Z
232,26096,0.00043547,2025-11-25T18:28:00.190Z
233,20070,0.00043938,2025-11-25T18:28:00.190Z
234,6858,0.00044005,2025-11-25T18:28:00.190Z
235,12728,0.00044059,2025-11-25T18:28:00.190Z
236,22202,0.00044409,2025-11-25T18:28:00.190Z
237,19156,0.00044662,2025-11-25T18:28:00.190Z
238,14807,0.00044819,2025-11-25T18:28:00.190Z
239,7223,0.00044863,2025-11-25T18:28:00.190Z
240,25927,0.00045192,2025-11-25T18:28:00.190Z
241,11955,0.00045288,2025-11-25T18:28:00.190Z
242,16469,0.00045351,2025-11-25T18:28:00.190Z
243,21726,0.00045383,2025-11-25T18:28:00.190Z
244,8376,0.00045623,2025-11-25T18:28:00.190Z
245,22395,0.00045707,2025-11-25T18:28:00.190Z
246,4625,0.00045874,2025-11-25T18:28:00.190Z
247,24996,0.00046324,2025-11-25T18:28:00.190Z
248,21037,0.00046694,2025-11-25T18:28:00.190Z
249,20556,0.00047086,2025-11-25T18:28:00.190Z
250,24911,0.00047093,2025-11-25T18:28:00.190Z
251,15456,0.00047145,2025-11-25T18:28:00.190Z
252,20891,0.00047516,2025-11-25T18:28:00.190Z
253,14587,0.00047593,2025-11-25T18:28:00.190Z
254,28323,0.00048045,2025-11-25T18:28:00.190Z
255,6947,0.00048343,2025-11-25T18:28:00.190Z
256,20374,0.00048605,2025-11-25T18:28:00.190Z
257,3477,0.00048700,2025-11-25T18:28:00.190Z
258,15836,0.00048720,2025-11-25T18:28:00.190Z
259,17090,0.00048766,2025-11-25T18:28:00.190Z
260,12729,0.00048945,2025-11-25T18:28:00.190Z
261,5138,0.00049024,2025-11-25T18:28:00.190Z
262,9798,0.00049309,2025-11-25T18:28:00.190Z
263,18318,0.00049536,2025-11-25T18:28:00.190Z
264,7941,0.00049623,2025-11-25T18:28:00.190Z
265,26815,0.00050148,2025-11-25T18:28:00.190Z
266,17097,0.00050687,2025-11-25T18:28:00.190Z
267,16596,0.00050783,2025-11-25T18:28:00.190Z
268,2476,0.00050789,2025-11-25T18:28:00.190Z
269,21592,0.00050932,2025-11-25T18:28:00.190Z
270,20937,0.00051120,2025-11-25T18:28:00.190Z
271,23271,0.00051349,2025-11-25T18:28:00.190Z
272,911,0.00051355,2025-11-25T18:28:00.190Z
273,7181,0.00051384,2025-11-25T18:28:00.190Z
274,13713,0.00051390,2025-11-25T18:28:00.190Z
275,27051,0.00051445,2025-11-25T18:28:00.190Z
276,567,0.00051946,2025-11-25T18:28:00.190Z
277,21810,0.00052025,2025-11-25T18:28:00.190Z
278,19893,0.00052094,2025-11-25T18:28:00.190Z
279,22264,0.00052286,2025-11-25T18:28:00.190Z
280,4392,0.00052414,2025-11-25T18:28:00.190Z
281,13329,0.00052660,2025-11-25T18:28:00.190Z
282,20259,0.00052712,2025-11-25T18:28:00.190Z
283,29391,0.00053386,2025-11-25T18:28:00.190Z
284,8177,0.00053425,2025-11-25T18:28:00.190Z
285,23242,0.00053528,2025-11-25T18:28:00.190Z
286,28666,0.00053720,2025-11-25T18:28:00.190Z
287,4378,0.00053822,2025-11-25T18:28:00.190Z
288,15121,0.00054058,2025-11-25T18:28:00.190Z
289,13356,0.00054132,2025-11-25T18:28:00.190Z
290,26803,0.00054236,2025-11-25T18:28:00.190Z
291,11891,0.00054366,2025-11-25T18:28:00.190Z
292,18263,0.00054442,2025-11-25T18:28:00.190Z
293,19154,0.00054528,2025-11-25T18:28:00.190Z
294,10179,0.00054968,2025-11-25T18:28:00.190Z
295,9000,0.00055033,2025-11-25T18:28:00.190Z
296,3987,0.00055052,2025-11-25T18:28:00.190Z
297,18335,0.00055280,2025-11-25T18:28:00.190Z
298,15817,0.00055511,2025-11-25T18:28:00.190Z
299,5527,0.00055711,2025-11-25T18:28:00.190Z
300,22024,0.00055874,2025-11-25T18:28:00.190Z
301,19507,0.00056151,2025-11-25T18:28:00.190Z
302,29511,0.00056189,2025-11-25T18:28:00.190Z
303,22980,0.00056326,2025-11-25T18:28:00.190Z
304,2227,0.00056329,2025-11-25T18:28:00.190Z
305,17281,0.00056507,2025-11-25T18:28:00.190Z
306,24625,0.00056562,2025-11-25T18:28:00.190Z
307,11556,0.00057136,2025-11-25T18:28:00.190Z
308,26138,0.00057300,2025-11-25T18:28:00.190Z
309,11714,0.00057988,2025-11-25T18:28:00.190Z
310,10145,0.00058429,2025-11-25T18:28:00.190Z
311,25054,0.00058461,2025-11-25T18:28:00.190Z
312,28842,0.00058750,2025-11-25T18:28:00.190Z
313,14115,0.00058782,2025-11-25T18:28:00.190Z
314,21616,0.00058792,2025-11-25T18:28:00.190Z
315,7729,0.00059059,2025-11-25T18:28:00.190Z
316,18042,0.00059335,2025-11-25T18:28:00.190Z
317,27930,0.00060035,2025-11-25T18:28:00.190Z
318,17812,0.00060712,2025-11-25T18:28:00.190Z
319,15827,0.00060810,2025-11-25T18:28:00.190Z
320,19701,0.00061086,2025-11-25T18:28:00.190Z
321,22785,0.00061308,2025-11-25T18:28:00.190Z
322,15156,0.00061451,2025-11-25T18:28:00.190Z
323,10304,0.00061985,2025-11-25T18:28:00.190Z
324,12605,0.00062089,2025-11-25T18:28:00.190Z
325,7035,0.00062409,2025-11-25T18:28:00.190Z
326,24727,0.00062805,2025-11-25T18:28:00.190Z
327,7958,0.00062811,2025-11-25T18:28:00.190Z
328,9494,0.00062980,2025-11-25T18:28:00.190Z
329,17439,0.00062981,2025-11-25T18:28:00.190Z
330,8748,0.00063279,2025-11-25T18:28:00.190Z
331,9013,0.00063329,2025-11-25T18:28:00.190Z
332,8048,0.00063420,2025-11-25T18:28:00.190Z
333,11398,0.00063587,2025-11-25T18:28:00.190Z
334,28359,0.00063774,2025-11-25T18:28:00.190Z
335,3030,0.00063863,2025-11-25T18:28:00.190Z
336,3116,0.00063943,2025-11-25T18:28:00.190Z
337,11948,0.00064248,2025-11-25T18:28:00.190Z
338,6688,0.00064248,2025-11-25T18:28:00.190Z
339,6300,0.00064516,2025-11-25T18:28:00.190Z
340,5036,0.00064659,2025-11-25T18:28:00.190Z
341,24639,0.00064976,2025-11-25T18:28:00.190Z
342,12647,0.00065047,2025-11-25T18:28:00.190Z
343,246,0.00065079,2025-11-25T18:28:00.190Z
344,5175,0.00065162,2025-11-25T18:28:00.190Z
345,15674,0.00065385,2025-11-25T18:28:00.190Z
346,18492,0.00065454,2025-11-25T18:28:00.190Z
347,10441,0.00065463,2025-11-25T18:28:00.190Z
348,7565,0.00065584,2025-11-25T18:28:00.190Z
349,10909,0.00065712,2025-11-25T18:28:00.190Z
350,23241,0.00065798,2025-11-25T18:28:00.190Z
351,8514,0.00066373,2025-11-25T18:28:00.190Z
352,28395,0.00066445,2025-11-25T18:28:00.190Z
353,14342,0.00066451,2025-11-25T18:28:00.190Z
354,19206,0.00066474,2025-11-25T18:28:00.190Z
355,20885,0.00066769,2025-11-25T18:28:00.190Z
356,12531,0.00066815,2025-11-25T18:28:00.190Z
357,24779,0.00066821,2025-11-25T18:28:00.190Z
358,10884,0.00066926,2025-11-25T18:28:00.190Z
359,2920,0.00066961,2025-11-25T18:28:00.190Z
360,8079,0.00067056,2025-11-25T18:28:00.190Z
361,19232,0.00067261,2025-11-25T18:28:00.190Z
362,12307,0.00067330,2025-11-25T18:28:00.190Z
363,6049,0.00067771,2025-11-25T18:28:00.190Z
364,20907,0.00067880,2025-11-25T18:28:00.190Z
365,2232,0.00068452,2025-11-25T18:28:00.190Z
366,27519,0.00068534,2025-11-25T18:28:00.190Z
367,27389,0.00068753,2025-11-25T18:28:00.190Z
368,12859,0.00069221,2025-11-25T18:28:00.190Z
369,25046,0.00069394,2025-11-25T18:28:00.190Z
370,14768,0.00069432,2025-11-25T18:28:00.190Z
371,3998,0.00069731,2025-11-25T18:28:00.190Z
372,15635,0.00069852,2025-11-25T18:28:00.190Z
373,11982,0.00069949,2025-11-25T18:28:00.190Z
374,715,0.00070017,2025-11-25T18:28:00.190Z
375,22961,0.00070282,2025-11-25T18:28:00.190Z
376,4287,0.00070428,2025-11-25T18:28:00.190Z
377,26001,0.00070536,2025-11-25T18:28:00.190Z
378,16395,0.00070605,2025-11-25T18:28:00.190Z
379,17243,0.00070810,2025-11-25T18:28:00.190Z
380,25194,0.00070840,2025-11-25T18:28:00.190Z
381,4249,0.00071104,2025-11-25T18:28:00.190Z
382,7405,0.00071137,2025-11-25T18:28:00.190Z
383,19102,0.00071277,2025-11-25T18:28:00.190Z
384,29957,0.00071414,2025-11-25T18:28:00.190Z
385,10925,0.00071718,2025-11-25T18:28:00.190Z
386,642,0.00071981,2025-11-25T18:28:00.190Z
387,3520,0.00072079,2025-11-25T18:28:00.190Z
388,2034,0.00072237,2025-11-25T18:28:00.190Z
389,18952,0.00072866,2025-11-25T18:28:00.190Z
390,17834,0.00073257,2025-11-25T18:28:00.190Z
391,23996,0.00073379,2025-11-25T18:28:00.190Z
392,4069,0.00073394,2025-11-25T18:28:00.190Z
393,28204,0.00073499,2025-11-25T18:28:00.190Z
394,4740,0.00073799,2025-11-25T18:28:00.190Z
395,928,0.00074188,2025-11-25T18:28:00.190Z
396,8226,0.00074251,2025-11-25T18:28:00.190Z
397,22914,0.00074339,2025-11-25T18:28:00.190Z
398,6115,0.00074535,2025-11-25T18:28:00.190Z
399,11226,0.00074678,2025-11-25T18:28:00.190Z
400,6966,0.00074747,2025-11-25T18:28:00.190Z
401,28897,0.00074829,2025-11-25T18:28:00.190Z
402,14019,0.00075130,2025-11-25T18:28:00.190Z
403,29235,0.00075290,2025-11-25T18:28:00.190Z
404,24901,0.00075375,2025-11-25T18:28:00.190Z
405,27918,0.00075661,2025-11-25T18:28:00.190Z
406,3186,0.00075708,2025-11-25T18:28:00.190Z
407,29665,0.00075911,2025-11-25T18:28:00.190Z
408,20796,0.00076125,2025-11-25T18:28:00.190Z
409,22929,0.00076191,2025-11-25T18:28:00.190Z
410,6533,0.00076341,2025-11-25T18:28:00.190Z
411,11078,0.00076398,2025-11-25T18:28:00.190Z
412,29509,0.00076538,2025-11-25T18:28:00.190Z
413,25855,0.00076698,2025-11-25T18:28:00.190Z
414,17493,0.00076770,2025-11-25T18:28:00.190Z
415,19882,0.00077051,2025-11-25T18:28:00.190Z
416,20920,0.00077179,2025-11-25T18:28:00.190Z
417,11876,0.00077221,2025-11-25T18:28:00.190Z
418,15400,0.00077315,2025-11-25T18:28:00.190Z
419,17273,0.00077422,2025-11-25T18:28:00.190Z
420,27746,0.00077447,2025-11-25T18:28:00.190Z
421,1237,0.00077603,2025-11-25T18:28:00.190Z
422,29298,0.00077829,2025-11-25T18:28:00.190Z
423,17110,0.00077898,2025-11-25T18:28:00.190Z
424,20047,0.00078216,2025-11-25T18:28:00.190Z
425,6632,0.00078268,2025-11-25T18:28:00.190Z
426,1595,0.00078603,2025-11-25T18:28:00.190Z
427,297,0.00078849,2025-11-25T18:28:00.190Z
428,15786,0.00078950,2025-11-25T18:28:00.190Z
429,29903,0.00078956,2025-11-25T18:28:00.190Z
430,26867,0.00079713,2025-11-25T18:28:00.190Z
431,15594,0.00079983,2025-11-25T18:28:00.190Z
432,14885,0.00080126,2025-11-25T18:28:00.190Z
433,18289,0.00080242,2025-11-25T18:28:00.190Z
434,10319,0.00080368,2025-11-25T18:28:00.190Z
435,22925,0.00080609,2025-11-25T18:28:00.190Z
436,20733,0.00080652,2025-11-25T18:28:00.190Z
437,20694,0.00080660,2025-11-25T18:28:00.190Z
438,18533,0.00080741,2025-11-25T18:28:00.190Z
439,23769,0.00080843,2025-11-25T18:28:00.190Z
440,25081,0.00080915,2025-11-25T18:28:00.190Z
441,18814,0.00080947,2025-11-25T18:28:00.190Z
442,17115,0.00081435,2025-11-25T18:28:00.190Z
443,24844,0.00081533,2025-11-25T18:28:00.190Z
444,19994,0.00081585,2025-11-25T18:28:00.190Z
445,9849,0.00081640,2025-11-25T18:28:00.190Z
446,23410,0.00081662,2025-11-25T18:28:00.190Z
447,10638,0.00081869,2025-11-25T18:28:00.190Z
448,26890,0.00081966,2025-11-25T18:28:00.190Z
449,1706,0.00082424,2025-11-25T18:28:00.190Z
450,9546,0.00082510,2025-11-25T18:28:00.190Z
451,20504,0.00082569,2025-11-25T18:28:00.190Z
452,18925,0.00082625,2025-11-25T18:28:00.190Z
453,5528,0.00082711,2025-11-25T18:28:00.190Z
454,29981,0.00082813,2025-11-25T18:28:00.190Z
455,27826,0.00082823,2025-11-25T18:28:00.190Z
456,25946,0.00082883,2025-11-25T18:28:00.190Z
457,10161,0.00083062,2025-11-25T18:28:00.190Z
458,8602,0.00083444,2025-11-25T18:28:00.190Z
459,8396,0.00083594,2025-11-25T18:28:00.190Z
460,24086,0.00083739,2025-11-25T18:28:00.190Z
461,14960,0.00083760,2025-11-25T18:28:00.190Z
462,9703,0.00084135,2025-11-25T18:28:00.190Z
463,20626,0.00084336,2025-11-25T18:28:00.190Z
464,6837,0.00084474,2025-11-25T18:28:00.190Z
465,22165,0.00084572,2025-11-25T18:28:00.190Z
466,28062,0.00084734,2025-11-25T18:28:00.190Z
467,28361,0.00084875,2025-11-25T18:28:00.190Z
468,4956,0.00085018,2025-11-25T18:28:00.190Z
469,2512,0.00085170,2025-11-25T18:28:00.190Z
470,13527,0.00085502,2025-11-25T18:28:00.190Z
471,21590,0.00085503,2025-11-25T18:28:00.190Z
472,17142,0.00085505,2025-11-25T18:28:00.190Z
473,26012,0.00085649,2025-11-25T18:28:00.190Z
474,22524,0.00085926,2025-11-25T18:28:00.190Z
475,29405,0.00086074,2025-11-25T18:28:00.190Z
476,26508,0.00086092,2025-11-25T18:28:00.190Z
477,4781,0.00086537,2025-11-25T18:28:00.190Z
478,25550,0.00086549,2025-11-25T18:28:00.190Z
479,15315,0.00086996,2025-11-25T18:28:00.190Z
480,28136,0.00087611,2025-11-25T18:28:00.190Z
481,5233,0.00087733,2025-11-25T18:28:00.190Z
482,24658,0.00088060,2025-11-25T18:28:00.190Z
483,25440,0.00088087,2025-11-25T18:28:00.190Z
484,27610,0.00088115,2025-11-25T18:28:00.190Z
485,22270,0.00088117,2025-11-25T18:28:00.190Z
486,5798,0.00088453,2025-11-25T18:28:00.190Z
487,12086,0.00088519,2025-11-25T18:28:00.190Z
488,989,0.00088612,2025-11-25T18:28:00.190Z
489,14096,0.00088670,2025-11-25T18:28:00.190Z
490,15433,0.00088696,2025-11-25T18:28:00.190Z
491,23807,0.00089475,2025-11-25T18:28:00.190Z
492,16355,0.00089536,2025-11-25T18:28:00.190Z
493,29096,0.00090059,2025-11-25T18:28:00.190Z
494,543,0.00090584,2025-11-25T18:28:00.190Z
495,15233,0.00090613,2025-11-25T18:28:00.190Z
496,8072,0.00090984,2025-11-25T18:28:00.190Z
497,2187,0.00091034,2025-11-25T18:28:00.190Z
498,28581,0.00091063,2025-11-25T18:28:00.190Z
