id_pesquisa,id_chamado,nota_atendimento,hora_da_ingestao
1100,1031,2,2025-11-25T18:28:03.039Z
1102,1032,2,2025-11-25T18:28:03.039Z
1104,1033,4,2025-11-25T18:28:03.039Z
1105,1034,3,2025-11-25T18:28:03.039Z
1106,1035,2,2025-11-25T18:28:03.039Z
1107,1036,3,2025-11-25T18:28:03.039Z
1108,1037,3,2025-11-25T18:28:03.039Z
1109,1038,2,2025-11-25T18:28:03.039Z
1110,1039,4,2025-11-25T18:28:03.039Z
1111,1040,2,2025-11-25T18:28:03.039Z
1112,1041,2,2025-11-25T18:28:03.039Z
1257,1176,3,2025-11-25T18:28:03.039Z
1258,1177,2,2025-11-25T18:28:03.039Z
1259,1178,3,2025-11-25T18:28:03.039Z
1260,1179,5,2025-11-25T18:28:03.039Z
1261,1180,4,2025-11-25T18:28:03.039Z
1262,1181,3,2025-11-25T18:28:03.039Z
1263,1182,3,2025-11-25T18:28:03.039Z
1264,1183,3,2025-11-25T18:28:03.039Z
1414,1324,3,2025-11-25T18:28:03.039Z
1415,1325,2,2025-11-25T18:28:03.039Z
1416,1326,2,2025-11-25T18:28:03.039Z
1417,1327,2,2025-11-25T18:28:03.039Z
1418,1328,3,2025-11-25T18:28:03.039Z
1419,1329,2,2025-11-25T18:28:03.039Z
1420,1330,3,2025-11-25T18:28:03.039Z
1421,1331,3,2025-11-25T18:28:03.039Z
1422,1332,2,2025-11-25T18:28:03.039Z
1423,1333,2,2025-11-25T18:28:03.039Z
1571,1471,3,2025-11-25T18:28:03.039Z
1572,1472,3,2025-11-25T18:28:03.039Z
1574,1473,2,2025-11-25T18:28:03.039Z
1575,1474,3,2025-11-25T18:28:03.039Z
1576,1475,2,2025-11-25T18:28:03.039Z
1577,1476,2,2025-11-25T18:28:03.039Z
1578,1477,2,2025-11-25T18:28:03.039Z
1579,1478,3,2025-11-25T18:28:03.039Z
1729,1619,2,2025-11-25T18:28:03.039Z
1730,1620,5,2025-11-25T18:28:03.039Z
1731,1621,5,2025-11-25T18:28:03.039Z
1732,1622,3,2025-11-25T18:28:03.039Z
1733,1623,3,2025-11-25T18:28:03.039Z
1728,1767,,2025-11-25T18:28:03.039Z
1885,1770,3,2025-11-25T18:28:03.039Z
1886,1771,2,2025-11-25T18:28:03.039Z
1887,1772,2,2025-11-25T18:28:03.039Z
1888,1773,2,2025-11-25T18:28:03.039Z
1889,1774,3,2025-11-25T18:28:03.039Z
1890,1775,2,2025-11-25T18:28:03.039Z
1891,1776,4,2025-11-25T18:28:03.039Z
1903,1913,,2025-11-25T18:28:03.039Z
2042,1919,4,2025-11-25T18:28:03.039Z
2044,1920,3,2025-11-25T18:28:03.039Z
2045,1921,3,2025-11-25T18:28:03.039Z
2046,1922,2,2025-11-25T18:28:03.039Z
2047,1923,3,2025-11-25T18:28:03.039Z
2050,1924,4,2025-11-25T18:28:03.039Z
2051,1925,3,2025-11-25T18:28:03.039Z
2052,1926,5,2025-11-25T18:28:03.039Z
2054,1927,2,2025-11-25T18:28:03.039Z
2055,1928,3,2025-11-25T18:28:03.039Z
2199,2066,3,2025-11-25T18:28:03.039Z
2200,2067,3,2025-11-25T18:28:03.039Z
2201,2068,3,2025-11-25T18:28:03.039Z
2202,2069,3,2025-11-25T18:28:03.039Z
2203,2070,2,2025-11-25T18:28:03.039Z
2204,2071,3,2025-11-25T18:28:03.039Z
2205,2072,3,2025-11-25T18:28:03.039Z
2206,2073,2,2025-11-25T18:28:03.039Z
2208,2074,2,2025-11-25T18:28:03.039Z
2209,2075,2,2025-11-25T18:28:03.039Z
2356,2212,2,2025-11-25T18:28:03.039Z
2357,2213,3,2025-11-25T18:28:03.039Z
2359,2214,2,2025-11-25T18:28:03.039Z
2360,2215,2,2025-11-25T18:28:03.039Z
2361,2216,3,2025-11-25T18:28:03.039Z
2362,2217,2,2025-11-25T18:28:03.039Z
2513,2363,3,2025-11-25T18:28:03.039Z
2514,2364,2,2025-11-25T18:28:03.039Z
2515,2365,3,2025-11-25T18:28:03.039Z
2517,2366,4,2025-11-25T18:28:03.039Z
2518,2367,5,2025-11-25T18:28:03.039Z
2519,2368,3,2025-11-25T18:28:03.039Z
2520,2369,3,2025-11-25T18:28:03.039Z
2670,2513,3,2025-11-25T18:28:03.039Z
2671,2514,2,2025-11-25T18:28:03.039Z
2672,2515,4,2025-11-25T18:28:03.039Z
2673,2516,3,2025-11-25T18:28:03.039Z
2674,2517,2,2025-11-25T18:28:03.039Z
2703,2661,,2025-11-25T18:28:03.039Z
2827,2664,3,2025-11-25T18:28:03.039Z
2828,2665,2,2025-11-25T18:28:03.039Z
2830,2666,2,2025-11-25T18:28:03.039Z
2831,2667,2,2025-11-25T18:28:03.039Z
2832,2668,4,2025-11-25T18:28:03.039Z
2833,2669,3,2025-11-25T18:28:03.039Z
2834,2670,4,2025-11-25T18:28:03.039Z
2984,2813,5,2025-11-25T18:28:03.039Z
2985,2814,5,2025-11-25T18:28:03.039Z
2986,2815,2,2025-11-25T18:28:03.039Z
2987,2816,3,2025-11-25T18:28:03.039Z
2988,2817,2,2025-11-25T18:28:03.039Z
3014,2960,,2025-11-25T18:28:03.039Z
3141,2964,4,2025-11-25T18:28:03.039Z
3142,2965,4,2025-11-25T18:28:03.039Z
3143,2966,2,2025-11-25T18:28:03.039Z
3144,2967,3,2025-11-25T18:28:03.039Z
3298,3117,4,2025-11-25T18:28:03.039Z
3300,3118,4,2025-11-25T18:28:03.039Z
3301,3119,4,2025-11-25T18:28:03.039Z
3302,3120,2,2025-11-25T18:28:03.039Z
3303,3121,2,2025-11-25T18:28:03.039Z
3304,3122,3,2025-11-25T18:28:03.039Z
3305,3123,3,2025-11-25T18:28:03.039Z
3455,3267,4,2025-11-25T18:28:03.039Z
3456,3268,2,2025-11-25T18:28:03.039Z
3457,3269,4,2025-11-25T18:28:03.039Z
3458,3270,3,2025-11-25T18:28:03.039Z
3459,3271,2,2025-11-25T18:28:03.039Z
3461,3272,3,2025-11-25T18:28:03.039Z
3462,3273,2,2025-11-25T18:28:03.039Z
3502,3410,,2025-11-25T18:28:03.039Z
3612,3416,4,2025-11-25T18:28:03.039Z
3613,3417,4,2025-11-25T18:28:03.039Z
3614,3418,3,2025-11-25T18:28:03.039Z
3615,3419,3,2025-11-25T18:28:03.039Z
3616,3420,3,2025-11-25T18:28:03.039Z
3617,3421,4,2025-11-25T18:28:03.039Z
3769,3566,5,2025-11-25T18:28:03.039Z
3770,3567,2,2025-11-25T18:28:03.039Z
3771,3568,3,2025-11-25T18:28:03.039Z
3919,3718,,2025-11-25T18:28:03.039Z
3926,3719,3,2025-11-25T18:28:03.039Z
3927,3720,3,2025-11-25T18:28:03.039Z
3928,3721,3,2025-11-25T18:28:03.039Z
3929,3722,3,2025-11-25T18:28:03.039Z
3930,3723,3,2025-11-25T18:28:03.039Z
3931,3724,2,2025-11-25T18:28:03.039Z
3932,3725,3,2025-11-25T18:28:03.039Z
3933,3726,3,2025-11-25T18:28:03.039Z
3934,3727,2,2025-11-25T18:28:03.039Z
3935,3728,4,2025-11-25T18:28:03.039Z
3936,3729,5,2025-11-25T18:28:03.039Z
3937,3730,5,2025-11-25T18:28:03.039Z
3938,3731,4,2025-11-25T18:28:03.039Z
4083,3862,3,2025-11-25T18:28:03.039Z
4086,3863,3,2025-11-25T18:28:03.039Z
4087,3864,3,2025-11-25T18:28:03.039Z
4088,3865,4,2025-11-25T18:28:03.039Z
4089,3866,4,2025-11-25T18:28:03.039Z
4090,3867,4,2025-11-25T18:28:03.039Z
4091,3868,4,2025-11-25T18:28:03.039Z
4092,3869,2,2025-11-25T18:28:03.039Z
4093,3870,2,2025-11-25T18:28:03.039Z
4240,4009,3,2025-11-25T18:28:03.039Z
4241,4010,4,2025-11-25T18:28:03.039Z
4242,4011,5,2025-11-25T18:28:03.039Z
4243,4012,2,2025-11-25T18:28:03.039Z
4244,4013,2,2025-11-25T18:28:03.039Z
4245,4014,5,2025-11-25T18:28:03.039Z
4246,4015,3,2025-11-25T18:28:03.039Z
4247,4016,3,2025-11-25T18:28:03.039Z
4248,4017,2,2025-11-25T18:28:03.039Z
4255,4149,,2025-11-25T18:28:03.039Z
4397,4156,3,2025-11-25T18:28:03.039Z
4398,4157,4,2025-11-25T18:28:03.039Z
4399,4158,3,2025-11-25T18:28:03.039Z
4400,4159,3,2025-11-25T18:28:03.039Z
4401,4160,4,2025-11-25T18:28:03.039Z
4456,4304,,2025-11-25T18:28:03.039Z
4554,4307,3,2025-11-25T18:28:03.039Z
4555,4308,2,2025-11-25T18:28:03.039Z
4556,4309,4,2025-11-25T18:28:03.039Z
4557,4310,4,2025-11-25T18:28:03.039Z
4558,4311,2,2025-11-25T18:28:03.039Z
4559,4312,3,2025-11-25T18:28:03.039Z
4560,4313,4,2025-11-25T18:28:03.039Z
4561,4314,3,2025-11-25T18:28:03.039Z
4563,4315,4,2025-11-25T18:28:03.039Z
4562,4447,,2025-11-25T18:28:03.039Z
4711,4454,2,2025-11-25T18:28:03.039Z
4712,4455,4,2025-11-25T18:28:03.039Z
4713,4456,3,2025-11-25T18:28:03.039Z
4714,4457,4,2025-11-25T18:28:03.039Z
4717,4458,2,2025-11-25T18:28:03.039Z
4718,4459,4,2025-11-25T18:28:03.039Z
4715,4599,,2025-11-25T18:28:03.039Z
4868,4604,3,2025-11-25T18:28:03.039Z
4869,4605,3,2025-11-25T18:28:03.039Z
4870,4606,2,2025-11-25T18:28:03.039Z
4871,4607,3,2025-11-25T18:28:03.039Z
4872,4608,4,2025-11-25T18:28:03.039Z
4873,4609,4,2025-11-25T18:28:03.039Z
4874,4610,3,2025-11-25T18:28:03.039Z
4875,4611,3,2025-11-25T18:28:03.039Z
5025,4752,3,2025-11-25T18:28:03.039Z
5026,4753,3,2025-11-25T18:28:03.039Z
5029,4754,2,2025-11-25T18:28:03.039Z
5030,4755,2,2025-11-25T18:28:03.039Z
5031,4756,3,2025-11-25T18:28:03.039Z
5034,4757,2,2025-11-25T18:28:03.039Z
5035,4758,3,2025-11-25T18:28:03.039Z
5036,4759,2,2025-11-25T18:28:03.039Z
5037,4760,3,2025-11-25T18:28:03.039Z
5028,4892,,2025-11-25T18:28:03.039Z
5182,4899,2,2025-11-25T18:28:03.039Z
5184,4900,3,2025-11-25T18:28:03.039Z
5185,4901,2,2025-11-25T18:28:03.039Z
5186,4902,2,2025-11-25T18:28:03.039Z
5187,4903,2,2025-11-25T18:28:03.039Z
5257,5046,,2025-11-25T18:28:03.039Z
5339,5050,3,2025-11-25T18:28:03.039Z
5340,5051,4,2025-11-25T18:28:03.039Z
5341,5052,2,2025-11-25T18:28:03.039Z
5342,5053,3,2025-11-25T18:28:03.039Z
5343,5054,3,2025-11-25T18:28:03.039Z
5344,5055,3,2025-11-25T18:28:03.039Z
5346,5056,2,2025-11-25T18:28:03.039Z
5347,5057,3,2025-11-25T18:28:03.039Z
5496,5198,2,2025-11-25T18:28:03.039Z
5498,5199,2,2025-11-25T18:28:03.039Z
5499,5200,2,2025-11-25T18:28:03.039Z
5500,5201,3,2025-11-25T18:28:03.039Z
5501,5202,4,2025-11-25T18:28:03.039Z
5502,5203,5,2025-11-25T18:28:03.039Z
5503,5204,3,2025-11-25T18:28:03.039Z
5504,5205,3,2025-11-25T18:28:03.039Z
5505,5206,2,2025-11-25T18:28:03.039Z
5506,5207,3,2025-11-25T18:28:03.039Z
5507,5208,3,2025-11-25T18:28:03.039Z
5508,5209,3,2025-11-25T18:28:03.039Z
5653,5342,3,2025-11-25T18:28:03.039Z
5654,5343,3,2025-11-25T18:28:03.039Z
5655,5344,3,2025-11-25T18:28:03.039Z
5656,5345,2,2025-11-25T18:28:03.039Z
5657,5346,4,2025-11-25T18:28:03.039Z
5658,5347,2,2025-11-25T18:28:03.039Z
5659,5348,3,2025-11-25T18:28:03.039Z
5660,5349,2,2025-11-25T18:28:03.039Z
5661,5483,,2025-11-25T18:28:03.039Z
5810,5490,3,2025-11-25T18:28:03.039Z
5811,5491,4,2025-11-25T18:28:03.039Z
5812,5492,3,2025-11-25T18:28:03.039Z
5813,5493,3,2025-11-25T18:28:03.039Z
5814,5494,3,2025-11-25T18:28:03.039Z
5815,5495,3,2025-11-25T18:28:03.039Z
5816,5496,3,2025-11-25T18:28:03.039Z
5823,5633,,2025-11-25T18:28:03.039Z
5967,5639,3,2025-11-25T18:28:03.039Z
5968,5640,3,2025-11-25T18:28:03.039Z
5969,5641,2,2025-11-25T18:28:03.039Z
5970,5642,3,2025-11-25T18:28:03.039Z
5971,5643,3,2025-11-25T18:28:03.039Z
5972,5644,2,2025-11-25T18:28:03.039Z
5973,5645,2,2025-11-25T18:28:03.039Z
5988,5782,,2025-11-25T18:28:03.039Z
6124,5788,3,2025-11-25T18:28:03.039Z
6125,5789,2,2025-11-25T18:28:03.039Z
6126,5790,2,2025-11-25T18:28:03.039Z
6127,5791,2,2025-11-25T18:28:03.039Z
6128,5792,3,2025-11-25T18:28:03.039Z
6129,5793,2,2025-11-25T18:28:03.039Z
6130,5794,3,2025-11-25T18:28:03.039Z
6131,5795,2,2025-11-25T18:28:03.039Z
6132,5796,3,2025-11-25T18:28:03.039Z
6175,5928,,2025-11-25T18:28:03.039Z
6281,5935,3,2025-11-25T18:28:03.039Z
6282,5936,2,2025-11-25T18:28:03.039Z
6283,5937,3,2025-11-25T18:28:03.039Z
6284,5938,2,2025-11-25T18:28:03.039Z
6285,5939,3,2025-11-25T18:28:03.039Z
6286,5940,5,2025-11-25T18:28:03.039Z
6302,6080,,2025-11-25T18:28:03.039Z
6438,6085,2,2025-11-25T18:28:03.039Z
6439,6086,4,2025-11-25T18:28:03.039Z
6440,6087,3,2025-11-25T18:28:03.039Z
6441,6088,2,2025-11-25T18:28:03.039Z
6442,6089,4,2025-11-25T18:28:03.039Z
6443,6090,3,2025-11-25T18:28:03.039Z
6444,6091,3,2025-11-25T18:28:03.039Z
6445,6092,3,2025-11-25T18:28:03.039Z
6446,6093,3,2025-11-25T18:28:03.039Z
6595,6233,3,2025-11-25T18:28:03.039Z
6596,6234,3,2025-11-25T18:28:03.039Z
6597,6235,5,2025-11-25T18:28:03.039Z
6600,6236,3,2025-11-25T18:28:03.039Z
6601,6237,3,2025-11-25T18:28:03.039Z
6602,6238,3,2025-11-25T18:28:03.039Z
6603,6239,2,2025-11-25T18:28:03.039Z
6604,6240,3,2025-11-25T18:28:03.039Z
6605,6241,4,2025-11-25T18:28:03.039Z
6598,6373,,2025-11-25T18:28:03.039Z
6752,6380,3,2025-11-25T18:28:03.039Z
6753,6381,4,2025-11-25T18:28:03.039Z
6754,6382,3,2025-11-25T18:28:03.039Z
6755,6383,2,2025-11-25T18:28:03.039Z
6756,6384,2,2025-11-25T18:28:03.039Z
6757,6385,2,2025-11-25T18:28:03.039Z
6758,6386,2,2025-11-25T18:28:03.039Z
6770,6524,,2025-11-25T18:28:03.039Z
6910,6529,3,2025-11-25T18:28:03.039Z
6912,6530,3,2025-11-25T18:28:03.039Z
6913,6531,5,2025-11-25T18:28:03.039Z
6914,6532,2,2025-11-25T18:28:03.039Z
6915,6533,4,2025-11-25T18:28:03.039Z
6916,6534,2,2025-11-25T18:28:03.039Z
6917,6535,3,2025-11-25T18:28:03.039Z
6918,6536,4,2025-11-25T18:28:03.039Z
6909,6671,,2025-11-25T18:28:03.039Z
7066,6677,3,2025-11-25T18:28:03.039Z
7067,6678,3,2025-11-25T18:28:03.039Z
7068,6679,5,2025-11-25T18:28:03.039Z
7069,6680,4,2025-11-25T18:28:03.039Z
7070,6681,3,2025-11-25T18:28:03.039Z
7072,6682,4,2025-11-25T18:28:03.039Z
7073,6683,2,2025-11-25T18:28:03.039Z
7074,6684,2,2025-11-25T18:28:03.039Z
7113,6819,,2025-11-25T18:28:03.039Z
7223,6825,2,2025-11-25T18:28:03.039Z
7224,6826,2,2025-11-25T18:28:03.039Z
7225,6827,5,2025-11-25T18:28:03.039Z
7226,6828,3,2025-11-25T18:28:03.039Z
7227,6829,3,2025-11-25T18:28:03.039Z
7228,6830,3,2025-11-25T18:28:03.039Z
7229,6831,5,2025-11-25T18:28:03.039Z
7231,6832,2,2025-11-25T18:28:03.039Z
7232,6833,2,2025-11-25T18:28:03.039Z
7233,6834,2,2025-11-25T18:28:03.039Z
7230,6963,,2025-11-25T18:28:03.039Z
7380,6971,2,2025-11-25T18:28:03.039Z
7381,6972,2,2025-11-25T18:28:03.039Z
7383,6973,2,2025-11-25T18:28:03.039Z
7384,6974,4,2025-11-25T18:28:03.039Z
7385,6975,2,2025-11-25T18:28:03.039Z
7386,6976,2,2025-11-25T18:28:03.039Z
7387,6977,4,2025-11-25T18:28:03.039Z
7382,7114,,2025-11-25T18:28:03.039Z
7537,7120,2,2025-11-25T18:28:03.039Z
7539,7121,4,2025-11-25T18:28:03.039Z
7540,7122,3,2025-11-25T18:28:03.039Z
7541,7123,3,2025-11-25T18:28:03.039Z
7542,7124,3,2025-11-25T18:28:03.039Z
7543,7125,4,2025-11-25T18:28:03.039Z
7544,7126,4,2025-11-25T18:28:03.039Z
7694,7270,2,2025-11-25T18:28:03.039Z
7695,7271,3,2025-11-25T18:28:03.039Z
7696,7272,2,2025-11-25T18:28:03.039Z
7697,7273,3,2025-11-25T18:28:03.039Z
7698,7274,3,2025-11-25T18:28:03.039Z
7699,7275,2,2025-11-25T18:28:03.039Z
7852,7421,4,2025-11-25T18:28:03.039Z
7853,7422,3,2025-11-25T18:28:03.039Z
7854,7423,3,2025-11-25T18:28:03.039Z
7855,7424,3,2025-11-25T18:28:03.039Z
7856,7425,3,2025-11-25T18:28:03.039Z
8008,7572,4,2025-11-25T18:28:03.039Z
8010,7573,3,2025-11-25T18:28:03.039Z
8011,7574,3,2025-11-25T18:28:03.039Z
8012,7575,2,2025-11-25T18:28:03.039Z
8013,7576,2,2025-11-25T18:28:03.039Z
8014,7577,3,2025-11-25T18:28:03.039Z
8015,7578,4,2025-11-25T18:28:03.039Z
8017,7579,2,2025-11-25T18:28:03.039Z
8018,7580,3,2025-11-25T18:28:03.039Z
8165,7719,4,2025-11-25T18:28:03.039Z
8166,7720,4,2025-11-25T18:28:03.039Z
8168,7721,3,2025-11-25T18:28:03.039Z
8169,7722,3,2025-11-25T18:28:03.039Z
8170,7723,2,2025-11-25T18:28:03.039Z
8171,7724,3,2025-11-25T18:28:03.039Z
8173,7725,3,2025-11-25T18:28:03.039Z
8174,7726,3,2025-11-25T18:28:03.039Z
8177,7727,2,2025-11-25T18:28:03.039Z
8178,7728,4,2025-11-25T18:28:03.039Z
8179,7729,3,2025-11-25T18:28:03.039Z
8322,7864,3,2025-11-25T18:28:03.039Z
8323,7865,4,2025-11-25T18:28:03.039Z
8324,7866,4,2025-11-25T18:28:03.039Z
8325,7867,2,2025-11-25T18:28:03.039Z
8326,7868,2,2025-11-25T18:28:03.039Z
8327,7869,2,2025-11-25T18:28:03.039Z
8335,8009,,2025-11-25T18:28:03.039Z
8479,8014,2,2025-11-25T18:28:03.039Z
8480,8015,2,2025-11-25T18:28:03.039Z
8481,8016,2,2025-11-25T18:28:03.039Z
8482,8017,5,2025-11-25T18:28:03.039Z
8483,8018,3,2025-11-25T18:28:03.039Z
8484,8019,3,2025-11-25T18:28:03.039Z
8486,8020,4,2025-11-25T18:28:03.039Z
8487,8021,2,2025-11-25T18:28:03.039Z
8636,8162,3,2025-11-25T18:28:03.039Z
8637,8163,3,2025-11-25T18:28:03.039Z
8638,8164,3,2025-11-25T18:28:03.039Z
8639,8165,3,2025-11-25T18:28:03.039Z
8640,8166,4,2025-11-25T18:28:03.039Z
8641,8167,2,2025-11-25T18:28:03.039Z
8642,8168,3,2025-11-25T18:28:03.039Z
8643,8169,3,2025-11-25T18:28:03.039Z
8793,8310,3,2025-11-25T18:28:03.039Z
8794,8311,3,2025-11-25T18:28:03.039Z
8795,8312,3,2025-11-25T18:28:03.039Z
8796,8313,3,2025-11-25T18:28:03.039Z
8797,8314,3,2025-11-25T18:28:03.039Z
8798,8315,4,2025-11-25T18:28:03.039Z
8799,8316,4,2025-11-25T18:28:03.039Z
8950,8460,3,2025-11-25T18:28:03.039Z
8951,8461,4,2025-11-25T18:28:03.039Z
8952,8462,4,2025-11-25T18:28:03.039Z
8953,8463,2,2025-11-25T18:28:03.039Z
8954,8464,4,2025-11-25T18:28:03.039Z
8955,8465,2,2025-11-25T18:28:03.039Z
8956,8466,3,2025-11-25T18:28:03.039Z
9107,8609,4,2025-11-25T18:28:03.039Z
9108,8610,2,2025-11-25T18:28:03.039Z
9109,8611,2,2025-11-25T18:28:03.039Z
9111,8612,4,2025-11-25T18:28:03.039Z
9112,8613,3,2025-11-25T18:28:03.039Z
9113,8614,4,2025-11-25T18:28:03.039Z
9114,8615,3,2025-11-25T18:28:03.039Z
9115,8616,2,2025-11-25T18:28:03.039Z
9116,8617,3,2025-11-25T18:28:03.039Z
9118,8618,2,2025-11-25T18:28:03.039Z
9119,8619,4,2025-11-25T18:28:03.039Z
9264,8754,3,2025-11-25T18:28:03.039Z
9266,8755,3,2025-11-25T18:28:03.039Z
9267,8756,2,2025-11-25T18:28:03.039Z
9268,8757,3,2025-11-25T18:28:03.039Z
9269,8758,3,2025-11-25T18:28:03.039Z
9270,8759,3,2025-11-25T18:28:03.039Z
9271,8760,5,2025-11-25T18:28:03.039Z
9272,8761,3,2025-11-25T18:28:03.039Z
9273,8762,3,2025-11-25T18:28:03.039Z
9421,8902,5,2025-11-25T18:28:03.039Z
9422,8903,4,2025-11-25T18:28:03.039Z
9423,8904,3,2025-11-25T18:28:03.039Z
9424,8905,4,2025-11-25T18:28:03.039Z
9426,8906,3,2025-11-25T18:28:03.039Z
9427,8907,4,2025-11-25T18:28:03.039Z
9428,8908,2,2025-11-25T18:28:03.039Z
9458,9046,,2025-11-25T18:28:03.039Z
9578,9051,2,2025-11-25T18:28:03.039Z
9579,9052,2,2025-11-25T18:28:03.039Z
9580,9053,3,2025-11-25T18:28:03.039Z
9581,9054,2,2025-11-25T18:28:03.039Z
9582,9055,2,2025-11-25T18:28:03.039Z
9583,9056,4,2025-11-25T18:28:03.039Z
9735,9202,4,2025-11-25T18:28:03.039Z
9736,9203,4,2025-11-25T18:28:03.039Z
9737,9204,3,2025-11-25T18:28:03.039Z
9739,9205,4,2025-11-25T18:28:03.039Z
9740,9206,3,2025-11-25T18:28:03.039Z
9741,9207,4,2025-11-25T18:28:03.039Z
9755,9348,,2025-11-25T18:28:03.039Z
9892,9352,3,2025-11-25T18:28:03.039Z
9893,9353,3,2025-11-25T18:28:03.039Z
9894,9354,3,2025-11-25T18:28:03.039Z
9895,9355,2,2025-11-25T18:28:03.039Z
9896,9356,2,2025-11-25T18:28:03.039Z
9897,9357,4,2025-11-25T18:28:03.039Z
9899,9358,3,2025-11-25T18:28:03.039Z
9900,9359,3,2025-11-25T18:28:03.039Z
10049,9501,3,2025-11-25T18:28:03.039Z
10050,9502,2,2025-11-25T18:28:03.039Z
10051,9503,3,2025-11-25T18:28:03.039Z
10052,9504,2,2025-11-25T18:28:03.039Z
10053,9505,3,2025-11-25T18:28:03.039Z
10054,9506,3,2025-11-25T18:28:03.039Z
10055,9507,5,2025-11-25T18:28:03.039Z
10056,9508,2,2025-11-25T18:28:03.039Z
10206,9649,3,2025-11-25T18:28:03.039Z
10207,9650,4,2025-11-25T18:28:03.039Z
10209,9651,3,2025-11-25T18:28:03.039Z
10210,9652,4,2025-11-25T18:28:03.039Z
10211,9653,3,2025-11-25T18:28:03.039Z
10212,9654,2,2025-11-25T18:28:03.039Z
10213,9655,3,2025-11-25T18:28:03.039Z
10214,9656,2,2025-11-25T18:28:03.039Z
10363,9797,2,2025-11-25T18:28:03.039Z
10364,9798,4,2025-11-25T18:28:03.039Z
10365,9799,4,2025-11-25T18:28:03.039Z
10366,9800,2,2025-11-25T18:28:03.039Z
10367,9801,4,2025-11-25T18:28:03.039Z
10368,9802,4,2025-11-25T18:28:03.039Z
10369,9803,3,2025-11-25T18:28:03.039Z
10520,9947,3,2025-11-25T18:28:03.039Z
10521,9948,2,2025-11-25T18:28:03.039Z
10522,9949,2,2025-11-25T18:28:03.039Z
10523,9950,3,2025-11-25T18:28:03.039Z
10524,9951,4,2025-11-25T18:28:03.039Z
10525,9952,3,2025-11-25T18:28:03.039Z
10526,9953,3,2025-11-25T18:28:03.039Z
10527,9954,3,2025-11-25T18:28:03.039Z
10677,10095,3,2025-11-25T18:28:03.039Z
10678,10096,2,2025-11-25T18:28:03.039Z
10679,10097,4,2025-11-25T18:28:03.039Z
10680,10098,3,2025-11-25T18:28:03.039Z
10834,10248,3,2025-11-25T18:28:03.039Z
10835,10249,3,2025-11-25T18:28:03.039Z
