id_chamado,id_cliente,hora_abertura_chamado,hora_inicio_atendimento,hora_finalizacao_atendimento,tempo_espera_seg,tempo_atendimento_seg,tempo_total_seg,hora_da_ingestao_silver
15212,56243976229,,,,,,,2025-11-24T16:37:21.909Z
15502,57010562125,,,,,,,2025-11-24T16:37:21.909Z
15645,57502452923,,,,,,,2025-11-24T16:37:21.909Z
15781,57810356120,,,,,,,2025-11-24T16:37:21.909Z
16893,61010938762,,,,,,,2025-11-24T16:37:21.909Z
17518,62997147205,,,,,,,2025-11-24T16:37:21.909Z
17557,63087352796,,,,,,,2025-11-24T16:37:21.909Z
18008,64305543819,,,,,,,2025-11-24T16:37:21.909Z
19351,68390031279,,,,,,,2025-11-24T16:37:21.909Z
21477,74828870265,,,,,,,2025-11-24T16:37:21.909Z
21804,75824291832,,,,,,,2025-11-24T16:37:21.909Z
21839,75912053786,,,,,,,2025-11-24T16:37:21.909Z
24393,83462281519,,,,,,,2025-11-24T16:37:21.909Z
24405,83492034794,,,,,,,2025-11-24T16:37:21.909Z
25092,85375023806,,,,,,,2025-11-24T16:37:21.909Z
26446,89535702636,,,,,,,2025-11-24T16:37:21.909Z
27063,91352875043,,,,,,,2025-11-24T16:37:21.909Z
27368,92330638491,,,,,,,2025-11-24T16:37:21.909Z
28684,96158802217,,,,,,,2025-11-24T16:37:21.909Z
1512,14632641035,,,,,,,2025-11-24T16:37:21.909Z
1577,14905197465,,,,,,,2025-11-24T16:37:21.909Z
1693,15177674106,,,,,,,2025-11-24T16:37:21.909Z
3890,21863674246,,,,,,,2025-11-24T16:37:21.909Z
5236,26119734984,,,,,,,2025-11-24T16:37:21.909Z
5340,26321681531,,,,,,,2025-11-24T16:37:21.909Z
8401,35573319642,,,,,,,2025-11-24T16:37:21.909Z
9039,37492576861,,,,,,,2025-11-24T16:37:21.909Z
9040,37494590737,,,,,,,2025-11-24T16:37:21.909Z
11296,44353601467,,,,,,,2025-11-24T16:37:21.909Z
11571,45211019338,,,,,,,2025-11-24T16:37:21.909Z
13946,52227992325,,,,,,,2025-11-24T16:37:21.909Z
14072,52697021322,,,,,,,2025-11-24T16:37:21.909Z
14199,53146245678,,,,,,,2025-11-24T16:37:21.909Z
15485,56968042224,,,,,,,2025-11-24T16:37:21.909Z
16225,59031575160,,,,,,,2025-11-24T16:37:21.909Z
18609,66135139592,,,,,,,2025-11-24T16:37:21.909Z
20042,70204642024,,,,,,,2025-11-24T16:37:21.909Z
21527,75028124264,,,,,,,2025-11-24T16:37:21.909Z
22163,76864596373,,,,,,,2025-11-24T16:37:21.909Z
24186,82963771949,,,,,,,2025-11-24T16:37:21.909Z
24215,83087782344,,,,,,,2025-11-24T16:37:21.909Z
27900,93848650581,,,,,,,2025-11-24T16:37:21.909Z
28629,95990942864,,,,,,,2025-11-24T16:37:21.909Z
212,10720036204,,,,,,,2025-11-24T16:37:21.909Z
1748,15367002599,,,,,,,2025-11-24T16:37:21.909Z
2091,16373943368,,,,,,,2025-11-24T16:37:21.909Z
3044,19385621933,,,,,,,2025-11-24T16:37:21.909Z
3067,19441711067,,,,,,,2025-11-24T16:37:21.909Z
3717,21400329830,,,,,,,2025-11-24T16:37:21.909Z
5876,28047456405,,,,,,,2025-11-24T16:37:21.909Z
6335,29578329322,,,,,,,2025-11-24T16:37:21.909Z
6900,31142460921,,,,,,,2025-11-24T16:37:21.909Z
7335,32520749904,,,,,,,2025-11-24T16:37:21.909Z
7556,33207319288,,,,,,,2025-11-24T16:37:21.909Z
7595,33276384474,,,,,,,2025-11-24T16:37:21.909Z
8345,35384246367,,,,,,,2025-11-24T16:37:21.909Z
9205,38019914008,,,,,,,2025-11-24T16:37:21.909Z
9842,39801547557,,,,,,,2025-11-24T16:37:21.909Z
10693,42557443551,,,,,,,2025-11-24T16:37:21.909Z
12935,49142357765,,,,,,,2025-11-24T16:37:21.909Z
13298,50167504576,,,,,,,2025-11-24T16:37:21.909Z
14472,54039334214,,,,,,,2025-11-24T16:37:21.909Z
16761,60653025742,,,,,,,2025-11-24T16:37:21.909Z
17205,61992581198,,,,,,,2025-11-24T16:37:21.909Z
18272,65156321710,,,,,,,2025-11-24T16:37:21.909Z
19856,69785226202,,,,,,,2025-11-24T16:37:21.909Z
21590,75207440234,,,,,,,2025-11-24T16:37:21.909Z
21665,75422184770,,,,,,,2025-11-24T16:37:21.909Z
22107,76727504646,,,,,,,2025-11-24T16:37:21.909Z
22881,79153578873,,,,,,,2025-11-24T16:37:21.909Z
24632,84091364407,,,,,,,2025-11-24T16:37:21.909Z
25670,87175997963,,,,,,,2025-11-24T16:37:21.909Z
26151,88667111602,,,,,,,2025-11-24T16:37:21.909Z
27240,91928108573,,,,,,,2025-11-24T16:37:21.909Z
28751,96269871234,,,,,,,2025-11-24T16:37:21.909Z
1191,13710294858,,,,,,,2025-11-24T16:37:21.909Z
1869,15719979969,,,,,,,2025-11-24T16:37:21.909Z
2653,18293528897,,,,,,,2025-11-24T16:37:21.909Z
3643,21179117031,,,,,,,2025-11-24T16:37:21.909Z
4422,23731854405,,,,,,,2025-11-24T16:37:21.909Z
4601,24279952695,,,,,,,2025-11-24T16:37:21.909Z
5040,25581184938,,,,,,,2025-11-24T16:37:21.909Z
7505,33007362139,,,,,,,2025-11-24T16:37:21.909Z
8141,34842158282,,,,,,,2025-11-24T16:37:21.909Z
8573,36042753265,,,,,,,2025-11-24T16:37:21.909Z
9077,37616754957,,,,,,,2025-11-24T16:37:21.909Z
9218,38031762434,,,,,,,2025-11-24T16:37:21.909Z
11920,46181882736,,,,,,,2025-11-24T16:37:21.909Z
12996,49333006112,,,,,,,2025-11-24T16:37:21.909Z
13468,50697412838,,,,,,,2025-11-24T16:37:21.909Z
13769,51686237637,,,,,,,2025-11-24T16:37:21.909Z
14459,53978280820,,,,,,,2025-11-24T16:37:21.909Z
18832,66751719637,,,,,,,2025-11-24T16:37:21.909Z
19368,68430585031,,,,,,,2025-11-24T16:37:21.909Z
20183,70570038058,,,,,,,2025-11-24T16:37:21.909Z
21990,76401819137,,,,,,,2025-11-24T16:37:21.909Z
22086,76683284934,,,,,,,2025-11-24T16:37:21.909Z
22455,77636529919,,,,,,,2025-11-24T16:37:21.909Z
23765,81722242157,,,,,,,2025-11-24T16:37:21.909Z
24898,84838813089,,,,,,,2025-11-24T16:37:21.909Z
27264,91986825459,,,,,,,2025-11-24T16:37:21.909Z
27287,92051584429,,,,,,,2025-11-24T16:37:21.909Z
29575,98668060727,,,,,,,2025-11-24T16:37:21.909Z
29756,99291952374,,,,,,,2025-11-24T16:37:21.909Z
234,10774684069,,,,,,,2025-11-24T16:37:21.909Z
3036,19379730117,,,,,,,2025-11-24T16:37:21.909Z
3891,21864544530,,,,,,,2025-11-24T16:37:21.909Z
4185,22957762520,,,,,,,2025-11-24T16:37:21.909Z
4578,24197047284,,,,,,,2025-11-24T16:37:21.909Z
4876,25129051551,,,,,,,2025-11-24T16:37:21.909Z
5970,28439365570,,,,,,,2025-11-24T16:37:21.909Z
8334,35368185954,,,,,,,2025-11-24T16:37:21.909Z
9211,38026469602,,,,,,,2025-11-24T16:37:21.909Z
10057,40527977395,,,,,,,2025-11-24T16:37:21.909Z
10130,40747873395,,,,,,,2025-11-24T16:37:21.909Z
11421,44757212302,,,,,,,2025-11-24T16:37:21.909Z
13429,50572594117,,,,,,,2025-11-24T16:37:21.909Z
13808,51830603205,,,,,,,2025-11-24T16:37:21.909Z
14989,55593273692,,,,,,,2025-11-24T16:37:21.909Z
15179,56172679357,,,,,,,2025-11-24T16:37:21.909Z
15980,58356740226,,,,,,,2025-11-24T16:37:21.909Z
16922,61123545289,,,,,,,2025-11-24T16:37:21.909Z
17733,63548094779,,,,,,,2025-11-24T16:37:21.909Z
17796,63757126693,,,,,,,2025-11-24T16:37:21.909Z
18422,65630505770,,,,,,,2025-11-24T16:37:21.909Z
18851,66831657323,,,,,,,2025-11-24T16:37:21.909Z
19682,69306299653,,,,,,,2025-11-24T16:37:21.909Z
19708,69382339458,,,,,,,2025-11-24T16:37:21.909Z
21236,74067665524,,,,,,,2025-11-24T16:37:21.909Z
22535,77968783461,,,,,,,2025-11-24T16:37:21.909Z
24768,84510350737,,,,,,,2025-11-24T16:37:21.909Z
25856,87660047210,,,,,,,2025-11-24T16:37:21.909Z
26292,89115489174,,,,,,,2025-11-24T16:37:21.909Z
26937,90883302079,,,,,,,2025-11-24T16:37:21.909Z
27427,92512947431,,,,,,,2025-11-24T16:37:21.909Z
29221,97611509447,,,,,,,2025-11-24T16:37:21.909Z
29566,98664729959,,,,,,,2025-11-24T16:37:21.909Z
362,11115333068,,,,,,,2025-11-24T16:37:21.909Z
1121,13456530677,,,,,,,2025-11-24T16:37:21.909Z
2327,17185019220,,,,,,,2025-11-24T16:37:21.909Z
5576,27015511120,,,,,,,2025-11-24T16:37:21.909Z
8324,35352300499,,,,,,,2025-11-24T16:37:21.909Z
8841,36887637017,,,,,,,2025-11-24T16:37:21.909Z
8903,37059380608,,,,,,,2025-11-24T16:37:21.909Z
9038,37490396249,,,,,,,2025-11-24T16:37:21.909Z
11070,43642496354,,,,,,,2025-11-24T16:37:21.909Z
12290,47190902364,,,,,,,2025-11-24T16:37:21.909Z
14482,54057317934,,,,,,,2025-11-24T16:37:21.909Z
14919,55376787767,,,,,,,2025-11-24T16:37:21.909Z
15136,56024093369,,,,,,,2025-11-24T16:37:21.909Z
15565,57218754444,,,,,,,2025-11-24T16:37:21.909Z
15777,57810356120,,,,,,,2025-11-24T16:37:21.909Z
16975,61300363780,,,,,,,2025-11-24T16:37:21.909Z
21650,75411474795,,,,,,,2025-11-24T16:37:21.909Z
21916,76187818061,,,,,,,2025-11-24T16:37:21.909Z
23346,80419096765,,,,,,,2025-11-24T16:37:21.909Z
23694,81522086123,,,,,,,2025-11-24T16:37:21.909Z
25425,86469248383,,,,,,,2025-11-24T16:37:21.909Z
25985,88135421559,,,,,,,2025-11-24T16:37:21.909Z
26385,89384551200,,,,,,,2025-11-24T16:37:21.909Z
27133,91602205626,,,,,,,2025-11-24T16:37:21.909Z
27650,93118888928,,,,,,,2025-11-24T16:37:21.909Z
28066,94336743852,,,,,,,2025-11-24T16:37:21.909Z
28836,96495433526,,,,,,,2025-11-24T16:37:21.909Z
29305,97861165089,,,,,,,2025-11-24T16:37:21.909Z
331,11057943545,,,,,,,2025-11-24T16:37:21.909Z
547,11770969632,,,,,,,2025-11-24T16:37:21.909Z
1768,15424101324,,,,,,,2025-11-24T16:37:21.909Z
2957,19104033364,,,,,,,2025-11-24T16:37:21.909Z
3517,20710686935,,,,,,,2025-11-24T16:37:21.909Z
4537,24038717292,,,,,,,2025-11-24T16:37:21.909Z
6518,30110728339,,,,,,,2025-11-24T16:37:21.909Z
8638,36256874248,,,,,,,2025-11-24T16:37:21.909Z
10304,41310958525,,,,,,,2025-11-24T16:37:21.909Z
10813,42858188388,,,,,,,2025-11-24T16:37:21.909Z
14007,52422980673,,,,,,,2025-11-24T16:37:21.909Z
14152,52945175599,,,,,,,2025-11-24T16:37:21.909Z
16827,60795736870,,,,,,,2025-11-24T16:37:21.909Z
18436,65644582285,,,,,,,2025-11-24T16:37:21.909Z
19229,68105363312,,,,,,,2025-11-24T16:37:21.909Z
19678,69292561854,,,,,,,2025-11-24T16:37:21.909Z
20256,70800612149,,,,,,,2025-11-24T16:37:21.909Z
20613,71933000093,,,,,,,2025-11-24T16:37:21.909Z
21052,73388924236,,,,,,,2025-11-24T16:37:21.909Z
21366,74471976205,,,,,,,2025-11-24T16:37:21.909Z
22493,77746723215,,,,,,,2025-11-24T16:37:21.909Z
22967,79393101851,,,,,,,2025-11-24T16:37:21.909Z
23480,80891688105,,,,,,,2025-11-24T16:37:21.909Z
25741,87359489473,,,,,,,2025-11-24T16:37:21.909Z
25896,87819747407,,,,,,,2025-11-24T16:37:21.909Z
459,11514454900,,,,,,,2025-11-24T16:37:21.909Z
673,12085215930,,,,,,,2025-11-24T16:37:21.909Z
1097,13399274526,,,,,,,2025-11-24T16:37:21.909Z
2155,16600400793,,,,,,,2025-11-24T16:37:21.909Z
3029,19331558169,,,,,,,2025-11-24T16:37:21.909Z
4946,25313292150,,,,,,,2025-11-24T16:37:21.909Z
5169,25939325988,,,,,,,2025-11-24T16:37:21.909Z
5511,26856042196,,,,,,,2025-11-24T16:37:21.909Z
5978,28441660345,,,,,,,2025-11-24T16:37:21.909Z
7659,33446528292,,,,,,,2025-11-24T16:37:21.909Z
7740,33685730139,,,,,,,2025-11-24T16:37:21.909Z
8001,34350543054,,,,,,,2025-11-24T16:37:21.909Z
8467,35769338962,,,,,,,2025-11-24T16:37:21.909Z
8948,37176020336,,,,,,,2025-11-24T16:37:21.909Z
9814,39746523987,,,,,,,2025-11-24T16:37:21.909Z
12347,47431682917,,,,,,,2025-11-24T16:37:21.909Z
13672,51417171192,,,,,,,2025-11-24T16:37:21.909Z
14542,54212714519,,,,,,,2025-11-24T16:37:21.909Z
15505,57023922432,,,,,,,2025-11-24T16:37:21.909Z
15616,57393315364,,,,,,,2025-11-24T16:37:21.909Z
16034,58506616893,,,,,,,2025-11-24T16:37:21.909Z
16238,59084690478,,,,,,,2025-11-24T16:37:21.909Z
17869,63959240862,,,,,,,2025-11-24T16:37:21.909Z
18289,65234708304,,,,,,,2025-11-24T16:37:21.909Z
18418,65587136939,,,,,,,2025-11-24T16:37:21.909Z
22641,78302534599,,,,,,,2025-11-24T16:37:21.909Z
26721,90234792243,,,,,,,2025-11-24T16:37:21.909Z
28521,95634898912,,,,,,,2025-11-24T16:37:21.909Z
28745,96269682288,,,,,,,2025-11-24T16:37:21.909Z
29038,97006653977,,,,,,,2025-11-24T16:37:21.909Z
290,10932087206,,,,,,,2025-11-24T16:37:21.909Z
4291,23347800318,,,,,,,2025-11-24T16:37:21.909Z
4605,24322042074,,,,,,,2025-11-24T16:37:21.909Z
4676,24537975115,,,,,,,2025-11-24T16:37:21.909Z
5877,28047456405,,,,,,,2025-11-24T16:37:21.909Z
6305,29507730402,,,,,,,2025-11-24T16:37:21.909Z
7862,33981531906,,,,,,,2025-11-24T16:37:21.909Z
10332,41432949907,,,,,,,2025-11-24T16:37:21.909Z
10624,42318872810,,,,,,,2025-11-24T16:37:21.909Z
10978,43350576632,,,,,,,2025-11-24T16:37:21.909Z
11765,45718036810,,,,,,,2025-11-24T16:37:21.909Z
12959,49193076754,,,,,,,2025-11-24T16:37:21.909Z
13043,49492830666,,,,,,,2025-11-24T16:37:21.909Z
13075,49569297607,,,,,,,2025-11-24T16:37:21.909Z
15221,56257208825,,,,,,,2025-11-24T16:37:21.909Z
17691,63478440767,,,,,,,2025-11-24T16:37:21.909Z
19005,67500388978,,,,,,,2025-11-24T16:37:21.909Z
19098,67737727234,,,,,,,2025-11-24T16:37:21.909Z
20825,72587974327,,,,,,,2025-11-24T16:37:21.909Z
21078,73430139430,,,,,,,2025-11-24T16:37:21.909Z
21806,75824291832,,,,,,,2025-11-24T16:37:21.909Z
22093,76690499006,,,,,,,2025-11-24T16:37:21.909Z
23148,79836234502,,,,,,,2025-11-24T16:37:21.909Z
26515,89675154080,,,,,,,2025-11-24T16:37:21.909Z
26589,89889160223,,,,,,,2025-11-24T16:37:21.909Z
29407,98160492764,,,,,,,2025-11-24T16:37:21.909Z
29815,99466311740,,,,,,,2025-11-24T16:37:21.909Z
823,12516854787,,,,,,,2025-11-24T16:37:21.909Z
2993,19179118135,,,,,,,2025-11-24T16:37:21.909Z
3948,22122817090,,,,,,,2025-11-24T16:37:21.909Z
4586,24233957028,,,,,,,2025-11-24T16:37:21.909Z
6913,31177266003,,,,,,,2025-11-24T16:37:21.909Z
8030,34443382321,,,,,,,2025-11-24T16:37:21.909Z
13279,50112917725,,,,,,,2025-11-24T16:37:21.909Z
14623,54486834985,,,,,,,2025-11-24T16:37:21.909Z
14937,55428839453,,,,,,,2025-11-24T16:37:21.909Z
16600,60244124677,,,,,,,2025-11-24T16:37:21.909Z
17529,63014035034,,,,,,,2025-11-24T16:37:21.909Z
17771,63659688448,,,,,,,2025-11-24T16:37:21.909Z
18719,66460544392,,,,,,,2025-11-24T16:37:21.909Z
18829,66746467224,,,,,,,2025-11-24T16:37:21.909Z
20342,71057258150,,,,,,,2025-11-24T16:37:21.909Z
21521,74995618482,,,,,,,2025-11-24T16:37:21.909Z
23947,82260799896,,,,,,,2025-11-24T16:37:21.909Z
24002,82381123251,,,,,,,2025-11-24T16:37:21.909Z
25065,85329415929,,,,,,,2025-11-24T16:37:21.909Z
25487,86610375290,,,,,,,2025-11-24T16:37:21.909Z
26961,90942521277,,,,,,,2025-11-24T16:37:21.909Z
27342,92242006014,,,,,,,2025-11-24T16:37:21.909Z
332,11067801912,,,,,,,2025-11-24T16:37:21.909Z
435,11387670645,,,,,,,2025-11-24T16:37:21.909Z
1493,14596078128,,,,,,,2025-11-24T16:37:21.909Z
1839,15607654935,,,,,,,2025-11-24T16:37:21.909Z
2276,17034843474,,,,,,,2025-11-24T16:37:21.909Z
2630,18222820453,,,,,,,2025-11-24T16:37:21.909Z
2718,18468598400,,,,,,,2025-11-24T16:37:21.909Z
3195,19780270420,,,,,,,2025-11-24T16:37:21.909Z
3401,20372353812,,,,,,,2025-11-24T16:37:21.909Z
4135,22806474347,,,,,,,2025-11-24T16:37:21.909Z
8932,37141409697,,,,,,,2025-11-24T16:37:21.909Z
10029,40413384560,,,,,,,2025-11-24T16:37:21.909Z
11022,43522139218,,,,,,,2025-11-24T16:37:21.909Z
11483,44953096195,,,,,,,2025-11-24T16:37:21.909Z
12402,47590484023,,,,,,,2025-11-24T16:37:21.909Z
14073,52698072314,,,,,,,2025-11-24T16:37:21.909Z
14175,53044559586,,,,,,,2025-11-24T16:37:21.909Z
14715,54732359625,,,,,,,2025-11-24T16:37:21.909Z
15912,58222124003,,,,,,,2025-11-24T16:37:21.909Z
16315,59278460527,,,,,,,2025-11-24T16:37:21.909Z
18772,66595834628,,,,,,,2025-11-24T16:37:21.909Z
19621,69139329026,,,,,,,2025-11-24T16:37:21.909Z
22131,76774985820,,,,,,,2025-11-24T16:37:21.909Z
22955,79357974204,,,,,,,2025-11-24T16:37:21.909Z
23302,80287337426,,,,,,,2025-11-24T16:37:21.909Z
27366,92326072782,,,,,,,2025-11-24T16:37:21.909Z
27519,92786761228,,,,,,,2025-11-24T16:37:21.909Z
29165,97383807864,,,,,,,2025-11-24T16:37:21.909Z
29766,99322673606,,,,,,,2025-11-24T16:37:21.909Z
1408,14432196575,,,,,,,2025-11-24T16:37:21.909Z
2541,17956056329,,,,,,,2025-11-24T16:37:21.909Z
2551,18017401483,,,,,,,2025-11-24T16:37:21.909Z
2713,18461144112,,,,,,,2025-11-24T16:37:21.909Z
6111,28881373875,,,,,,,2025-11-24T16:37:21.909Z
7343,32537802902,,,,,,,2025-11-24T16:37:21.909Z
8016,34379660682,,,,,,,2025-11-24T16:37:21.909Z
9838,39788225417,,,,,,,2025-11-24T16:37:21.909Z
11067,43642496354,,,,,,,2025-11-24T16:37:21.909Z
12113,46690446382,,,,,,,2025-11-24T16:37:21.909Z
12265,47140151275,,,,,,,2025-11-24T16:37:21.909Z
17393,62585358321,,,,,,,2025-11-24T16:37:21.909Z
18497,65768670399,,,,,,,2025-11-24T16:37:21.909Z
21106,73523064173,,,,,,,2025-11-24T16:37:21.909Z
23002,79486079037,,,,,,,2025-11-24T16:37:21.909Z
23787,81745025415,,,,,,,2025-11-24T16:37:21.909Z
26016,88241274848,,,,,,,2025-11-24T16:37:21.909Z
26795,90429595460,,,,,,,2025-11-24T16:37:21.909Z
27081,91436735983,,,,,,,2025-11-24T16:37:21.909Z
240,10789862181,,,,,,,2025-11-24T16:37:21.909Z
2335,17197656553,,,,,,,2025-11-24T16:37:21.909Z
4757,24813956989,,,,,,,2025-11-24T16:37:21.909Z
8120,34764690626,,,,,,,2025-11-24T16:37:21.909Z
8970,37260499076,,,,,,,2025-11-24T16:37:21.909Z
9432,38713906022,,,,,,,2025-11-24T16:37:21.909Z
10324,41355713436,,,,,,,2025-11-24T16:37:21.909Z
11430,44762714586,,,,,,,2025-11-24T16:37:21.909Z
14587,54341381755,,,,,,,2025-11-24T16:37:21.909Z
16234,59061845375,,,,,,,2025-11-24T16:37:21.909Z
18446,65673232384,,,,,,,2025-11-24T16:37:21.909Z
19935,69921236152,,,,,,,2025-11-24T16:37:21.909Z
23017,79528296800,,,,,,,2025-11-24T16:37:21.909Z
24958,85042050405,,,,,,,2025-11-24T16:37:21.909Z
25201,85852515302,,,,,,,2025-11-24T16:37:21.909Z
27518,92786275911,,,,,,,2025-11-24T16:37:21.909Z
28339,95139293184,,,,,,,2025-11-24T16:37:21.909Z
28759,96304290741,,,,,,,2025-11-24T16:37:21.909Z
1008,13107419780,,,,,,,2025-11-24T16:37:21.909Z
1048,13250584282,,,,,,,2025-11-24T16:37:21.909Z
1917,15894809098,,,,,,,2025-11-24T16:37:21.909Z
4416,23724969815,,,,,,,2025-11-24T16:37:21.909Z
5726,27551089452,,,,,,,2025-11-24T16:37:21.909Z
6817,30881925151,,,,,,,2025-11-24T16:37:21.909Z
7439,32811656638,,,,,,,2025-11-24T16:37:21.909Z
8918,37110660291,,,,,,,2025-11-24T16:37:21.909Z
10568,42156541644,,,,,,,2025-11-24T16:37:21.909Z
10633,42336748179,,,,,,,2025-11-24T16:37:21.909Z
11092,43729424767,,,,,,,2025-11-24T16:37:21.909Z
13408,50520984177,,,,,,,2025-11-24T16:37:21.909Z
14646,54547348605,,,,,,,2025-11-24T16:37:21.909Z
16746,60626862241,,,,,,,2025-11-24T16:37:21.909Z
18030,64395276389,,,,,,,2025-11-24T16:37:21.909Z
19212,68085084618,,,,,,,2025-11-24T16:37:21.909Z
19767,69575902076,,,,,,,2025-11-24T16:37:21.909Z
19987,70056306004,,,,,,,2025-11-24T16:37:21.909Z
20358,71095146791,,,,,,,2025-11-24T16:37:21.909Z
23046,79621607156,,,,,,,2025-11-24T16:37:21.909Z
23117,79775253046,,,,,,,2025-11-24T16:37:21.909Z
23891,82051414501,,,,,,,2025-11-24T16:37:21.909Z
24852,84677477711,,,,,,,2025-11-24T16:37:21.909Z
25195,85838782065,,,,,,,2025-11-24T16:37:21.909Z
25383,86313302500,,,,,,,2025-11-24T16:37:21.909Z
26308,89150221678,,,,,,,2025-11-24T16:37:21.909Z
28116,94481240837,,,,,,,2025-11-24T16:37:21.909Z
6943,31262023177,,,,,,,2025-11-24T16:37:21.909Z
7804,33829399181,,,,,,,2025-11-24T16:37:21.909Z
8170,34906482695,,,,,,,2025-11-24T16:37:21.909Z
9648,39330375868,,,,,,,2025-11-24T16:37:21.909Z
11317,44409626798,,,,,,,2025-11-24T16:37:21.909Z
11809,45809520561,,,,,,,2025-11-24T16:37:21.909Z
13322,50189188111,,,,,,,2025-11-24T16:37:21.909Z
14532,54174196027,,,,,,,2025-11-24T16:37:21.909Z
15410,56773460018,,,,,,,2025-11-24T16:37:21.909Z
16290,59214953742,,,,,,,2025-11-24T16:37:21.909Z
16421,59642673457,,,,,,,2025-11-24T16:37:21.909Z
19909,69896523610,,,,,,,2025-11-24T16:37:21.909Z
20599,71884540357,,,,,,,2025-11-24T16:37:21.909Z
21164,73788885583,,,,,,,2025-11-24T16:37:21.909Z
22116,76746156174,,,,,,,2025-11-24T16:37:21.909Z
22259,77107458891,,,,,,,2025-11-24T16:37:21.909Z
22575,78125300261,,,,,,,2025-11-24T16:37:21.909Z
23515,80993212020,,,,,,,2025-11-24T16:37:21.909Z
26329,89207354190,,,,,,,2025-11-24T16:37:21.909Z
27233,91910746948,,,,,,,2025-11-24T16:37:21.909Z
27550,92829185913,,,,,,,2025-11-24T16:37:21.909Z
28190,94677466552,,,,,,,2025-11-24T16:37:21.909Z
28218,94826757042,,,,,,,2025-11-24T16:37:21.909Z
28856,96547636138,,,,,,,2025-11-24T16:37:21.909Z
28977,96816529481,,,,,,,2025-11-24T16:37:21.909Z
29808,99449283873,,,,,,,2025-11-24T16:37:21.909Z
3287,20027473993,,,,,,,2025-11-24T16:37:21.909Z
3617,21061838908,,,,,,,2025-11-24T16:37:21.909Z
4426,23731854405,,,,,,,2025-11-24T16:37:21.909Z
5214,26066466767,,,,,,,2025-11-24T16:37:21.909Z
6769,30735292484,,,,,,,2025-11-24T16:37:21.909Z
7150,31902324962,,,,,,,2025-11-24T16:37:21.909Z
7348,32554651480,,,,,,,2025-11-24T16:37:21.909Z
8248,35189999569,,,,,,,2025-11-24T16:37:21.909Z
9271,38172871946,,,,,,,2025-11-24T16:37:21.909Z
10500,41927012850,,,,,,,2025-11-24T16:37:21.909Z
10508,41976780179,,,,,,,2025-11-24T16:37:21.909Z
10676,42526516551,,,,,,,2025-11-24T16:37:21.909Z
10860,42962823629,,,,,,,2025-11-24T16:37:21.909Z
12237,47014733947,,,,,,,2025-11-24T16:37:21.909Z
12397,47582602177,,,,,,,2025-11-24T16:37:21.909Z
12452,47722745423,,,,,,,2025-11-24T16:37:21.909Z
13568,51026322627,,,,,,,2025-11-24T16:37:21.909Z
15064,55878145671,,,,,,,2025-11-24T16:37:21.909Z
17719,63527104112,,,,,,,2025-11-24T16:37:21.909Z
18973,67326924424,,,,,,,2025-11-24T16:37:21.909Z
19235,68122582600,,,,,,,2025-11-24T16:37:21.909Z
