id_chamado,fk_tempo_abertura,fk_cliente,fk_motivo,fk_canal,fk_atendente,hora_inicio_atendimento,hora_finalizacao_atendimento,tempo_espera_seg,tempo_atendimento_seg,custo_atendimento,nota_atendimento,atendimento_resolvido
1288,2025042521,14090607132,3,URA,,2025-04-25T21:42:21.000Z,2025-04-25T21:54:08.000Z,0,707,0.05898476,2,Não
1038,2025011512,13226556462,6,URA,,2025-01-15T12:08:06.000Z,2025-01-15T12:20:07.000Z,0,721,0.10633996,2,Não
1782,2025062409,15455697120,5,URA,,2025-06-24T09:35:01.000Z,2025-06-24T09:40:29.000Z,0,328,0.03406636,3,Não
62,2025032110,10173660878,8,URA,,2025-03-21T10:26:27.000Z,2025-03-21T10:32:14.000Z,0,347,0.03758864,2,Não
1807,2025011810,15525817274,5,CHATBOT,,2025-01-18T10:34:49.000Z,2025-01-18T10:35:59.000Z,0,70,0.01362921,2,Não
1902,2025022802,15855001023,3,URA,,2025-02-28T02:56:10.000Z,2025-02-28T03:03:56.000Z,0,466,0.07550428,5,Sim
1991,2025031712,16131002416,5,CHATBOT,,2025-03-17T12:00:13.000Z,2025-03-17T12:00:53.000Z,0,40,0.00291914,3,Sim
2007,2025010803,16162553522,5,CHATBOT,,2025-01-08T03:57:55.000Z,2025-01-08T03:58:34.000Z,0,39,0.00159018,3,Não
70,2025041902,10190630255,10,URA,,2025-04-19T02:46:37.000Z,2025-04-19T02:51:57.000Z,0,320,0.01404288,4,Sim
2192,2025051418,16763428081,5,CHATBOT,,2025-05-14T18:11:52.000Z,2025-05-14T18:13:20.000Z,0,88,0.01293396,4,Não
72,2025050803,10197988526,11,URA,,2025-05-08T03:15:29.000Z,2025-05-08T03:21:00.000Z,0,331,0.02211644,2,Não
73,2025031306,10199326242,12,URA,,2025-03-13T06:34:39.000Z,2025-03-13T06:47:42.000Z,0,783,0.03313820,3,Não
76,2025031918,10208753075,10,CHATBOT,,2025-03-19T18:55:56.000Z,2025-03-19T18:57:23.000Z,0,87,0.00850370,3,Não
77,2025051513,10217395568,4,URA,,2025-05-15T13:02:32.000Z,2025-05-15T13:14:35.000Z,0,723,0.06519826,2,Não
2390,2025010209,17326086039,11,URA,,2025-01-02T09:31:03.000Z,2025-01-02T09:33:49.000Z,0,166,0.01224998,3,Não
2419,2025042908,17435632088,5,URA,,2025-04-29T08:32:57.000Z,2025-04-29T08:36:19.000Z,0,202,0.02971351,3,Sim
2434,2025011805,17486034322,11,URA,,2025-01-18T05:46:50.000Z,2025-01-18T05:55:39.000Z,0,529,0.10026055,3,Não
2627,2025051318,18189157528,9,CHATBOT,,2025-05-13T18:40:41.000Z,2025-05-13T18:43:05.000Z,0,144,0.00001928,3,Não
1076,2025021723,13328719042,7,URA,,2025-02-17T23:30:06.000Z,2025-02-17T23:48:39.000Z,0,1113,0.09339230,3,Não
1081,2025022819,13342286673,11,URA,,2025-02-28T19:52:53.000Z,2025-02-28T20:02:18.000Z,0,565,0.00238620,3,Não
549,2025020310,11770969632,3,ATENDIMENTO ESPECIALIZADO,2,2025-02-03T10:50:18.000Z,2025-02-03T11:15:58.000Z,1160,1540,1.64019786,3,Sim
602,2025053008,11915269106,8,ATENDIMENTO ESPECIALIZADO,2,2025-05-30T08:36:04.000Z,2025-05-30T09:15:32.000Z,562,2368,0.30432451,4,Sim
682,2025042819,12094000098,12,ATENDIMENTO ESPECIALIZADO,2,2025-04-28T19:45:46.000Z,2025-04-28T20:45:07.000Z,1127,3561,4.07144260,2,Sim
807,2025031906,12490606595,7,ATENDIMENTO ESPECIALIZADO,2,2025-03-19T07:05:03.000Z,2025-03-19T07:28:51.000Z,624,1428,1.11301412,4,Sim
996,2025051116,13058946826,3,ATENDIMENTO ESPECIALIZADO,2,2025-05-11T17:00:44.000Z,2025-05-11T17:40:32.000Z,676,2388,2.23131582,2,Sim
1166,2025021107,13622697358,6,ATENDIMENTO ESPECIALIZADO,2,2025-02-11T08:02:36.000Z,2025-02-11T08:49:42.000Z,616,2826,1.62235720,2,Sim
1925,2025062402,15923094847,7,ATENDIMENTO ESPECIALIZADO,2,2025-06-24T02:36:57.000Z,2025-06-24T03:48:25.000Z,1004,4288,2.53197867,3,Não
1927,2025061921,15923094847,7,ATENDIMENTO ESPECIALIZADO,2,2025-06-19T21:19:36.000Z,2025-06-19T22:16:20.000Z,927,3404,1.37908329,2,Sim
2312,2025022617,17151420051,7,ATENDIMENTO ESPECIALIZADO,2,2025-02-26T17:50:27.000Z,2025-02-26T18:29:59.000Z,529,2372,1.70550050,3,Sim
2393,2025060520,17328720872,11,ATENDIMENTO ESPECIALIZADO,2,2025-06-05T20:52:27.000Z,2025-06-05T21:04:31.000Z,309,724,0.36829967,4,Sim
3131,2025021414,19613998925,8,ATENDIMENTO ESPECIALIZADO,2,2025-02-14T14:34:01.000Z,2025-02-14T14:54:31.000Z,401,1230,0.97769471,2,Sim
527,2025040704,11715583755,7,ATENDIMENTO INICIAL,1,2025-04-07T04:32:19.000Z,2025-04-07T05:12:07.000Z,197,2388,0.63843112,2,Não
538,2025032608,11743880449,9,ATENDIMENTO INICIAL,1,2025-03-26T08:54:32.000Z,2025-03-26T09:45:20.000Z,190,3048,1.37589560,4,Não
1825,2025040807,15594815303,11,ATENDIMENTO INICIAL,1,2025-04-08T07:46:40.000Z,2025-04-08T08:07:19.000Z,359,1239,0.23236952,5,Não
1924,2025050305,15923094847,7,ATENDIMENTO INICIAL,1,2025-05-03T05:13:43.000Z,2025-05-03T05:37:58.000Z,153,1455,0.47470271,4,Não
2001,2025051914,16154205297,8,ATENDIMENTO INICIAL,1,2025-05-19T14:35:04.000Z,2025-05-19T14:54:39.000Z,534,1175,0.87689076,3,Não
2002,2025041102,16154205297,8,ATENDIMENTO INICIAL,1,2025-04-11T02:50:31.000Z,2025-04-11T03:03:47.000Z,540,796,0.05831045,3,Sim
2200,2025060219,16797811615,3,ATENDIMENTO INICIAL,1,2025-06-02T19:30:50.000Z,2025-06-02T20:13:35.000Z,116,2565,2.02376820,2,Não
2361,2025012016,17278088944,5,ATENDIMENTO INICIAL,1,2025-01-20T16:12:46.000Z,2025-01-20T16:22:32.000Z,257,586,0.12616952,,Não
2392,2025021812,17328720872,11,ATENDIMENTO INICIAL,1,2025-02-18T12:58:14.000Z,2025-02-18T13:18:03.000Z,479,1189,0.23681640,2,Não
2403,2025050901,17376895285,8,ATENDIMENTO INICIAL,1,2025-05-09T01:23:29.000Z,2025-05-09T01:43:31.000Z,348,1202,0.90013769,2,Não
2416,2025062703,17405700937,9,ATENDIMENTO INICIAL,1,2025-06-27T03:20:19.000Z,2025-06-27T03:40:04.000Z,428,1185,0.59973505,4,Não
3098,2025062920,19548420802,3,ATENDIMENTO INICIAL,1,2025-06-29T20:37:31.000Z,2025-06-29T21:15:25.000Z,147,2274,1.61675095,2,Não
3119,2025060620,19588952118,5,ATENDIMENTO INICIAL,1,2025-06-06T20:24:17.000Z,2025-06-06T20:48:38.000Z,445,1461,0.02326451,4,Não
16664,2025010117,60456678767,9,ATENDIMENTO INICIAL,1,2025-01-01T17:22:00.000Z,2025-01-01T18:04:18.000Z,559,2538,1.74765655,3,Não
3318,2025030617,20128360227,8,URA,,2025-03-06T17:01:21.000Z,2025-03-06T17:06:20.000Z,0,299,0.03669385,4,Sim
112,2025062418,10302771019,11,URA,,2025-06-24T18:37:23.000Z,2025-06-24T18:42:32.000Z,0,309,0.05161419,3,Não
3389,2025022112,20349774725,3,CHATBOT,,2025-02-21T12:54:08.000Z,2025-02-21T12:56:01.000Z,0,113,0.01820179,3,Sim
3402,2025051711,20376879203,11,CHATBOT,,2025-05-17T11:04:52.000Z,2025-05-17T11:06:28.000Z,0,96,0.00774676,3,Não
3457,2025032022,20587598705,11,URA,,2025-03-20T22:21:01.000Z,2025-03-20T22:25:24.000Z,0,263,0.00848763,3,Não
116,2025050207,10342797913,13,URA,,2025-05-02T07:37:01.000Z,2025-05-02T07:44:49.000Z,0,468,0.03033375,3,Não
3545,2025060423,20826457652,12,URA,,2025-06-04T23:43:38.000Z,2025-06-04T23:57:50.000Z,0,852,0.09577802,2,Não
3641,2025040301,21159562618,12,URA,,2025-04-03T01:46:11.000Z,2025-04-03T01:55:33.000Z,0,562,0.00624123,3,Sim
3789,2025060121,21599371203,3,URA,,2025-06-01T21:38:43.000Z,2025-06-01T21:56:14.000Z,0,1051,0.02648799,3,Não
122,2025062918,10349268807,10,URA,,2025-06-29T18:51:57.000Z,2025-06-29T18:57:17.000Z,0,320,0.01694056,3,Não
123,2025011319,10350966116,7,URA,,2025-01-13T19:04:10.000Z,2025-01-13T19:22:17.000Z,0,1087,0.10741911,2,Sim
124,2025062908,10353351612,10,URA,,2025-06-29T08:58:51.000Z,2025-06-29T09:05:06.000Z,0,375,0.00790293,4,Sim
125,2025062311,10364987760,11,URA,,2025-06-23T11:52:08.000Z,2025-06-23T11:56:06.000Z,0,238,0.01801744,2,Não
3837,2025030312,21730513215,5,CHATBOT,,2025-03-03T12:35:44.000Z,2025-03-03T12:37:34.000Z,0,110,0.00878822,3,Sim
127,2025052914,10380516263,12,URA,,2025-05-29T14:34:28.000Z,2025-05-29T14:48:31.000Z,0,843,0.01286390,4,Não
3916,2025031218,21983179977,11,CHATBOT,,2025-03-12T18:52:05.000Z,2025-03-12T18:53:46.000Z,0,101,0.00383953,3,Sim
3958,2025022815,22161522605,12,URA,,2025-02-28T15:23:39.000Z,2025-02-28T15:33:07.000Z,0,568,0.03256080,3,Não
130,2025061023,10384976186,5,URA,,2025-06-10T23:01:10.000Z,2025-06-10T23:05:29.000Z,0,259,0.01338712,3,Sim
1145,2025022304,13560953191,5,URA,,2025-02-23T04:12:00.000Z,2025-02-23T04:17:59.000Z,0,359,0.04189143,5,Não
150,2025011411,10408354807,3,URA,,2025-01-14T11:24:55.000Z,2025-01-14T11:42:58.000Z,0,1083,0.03406401,3,Não
154,2025030722,10409247699,5,URA,,2025-03-07T22:37:50.000Z,2025-03-07T22:47:13.000Z,0,563,0.08434240,3,Não
5166,2025020603,25939325988,8,CHATBOT,,2025-02-06T03:26:23.000Z,2025-02-06T03:27:20.000Z,0,57,0.00371787,3,Não
5187,2025042701,26003050322,5,URA,,2025-04-27T01:25:41.000Z,2025-04-27T01:31:52.000Z,0,371,0.05879294,3,Não
5354,2025011809,26355763659,6,CHATBOT,,2025-01-18T09:30:12.000Z,2025-01-18T09:32:58.000Z,0,166,0.01795104,2,Sim
163,2025011903,10458003955,6,URA,,2025-01-19T03:30:02.000Z,2025-01-19T03:38:57.000Z,0,535,0.08419848,4,Sim
164,2025021304,10460852768,10,URA,,2025-02-13T04:27:40.000Z,2025-02-13T04:37:35.000Z,0,595,0.09979109,3,Sim
5382,2025011222,26461643363,11,URA,,2025-01-12T22:26:21.000Z,2025-01-12T22:33:37.000Z,0,436,0.01787940,4,Não
5439,2025042004,26650173898,8,CHATBOT,,2025-04-20T04:50:29.000Z,2025-04-20T04:52:06.000Z,0,97,0.00128066,3,Sim
168,2025021312,10481821533,3,URA,,2025-02-13T12:22:48.000Z,2025-02-13T12:42:42.000Z,0,1194,0.17243650,2,Não
1177,2025030723,13675173274,10,URA,,2025-03-07T23:50:08.000Z,2025-03-07T23:57:57.000Z,0,469,0.08181855,2,Não
6431,2025052412,29807305314,11,URA,,2025-05-24T12:31:18.000Z,2025-05-24T12:37:07.000Z,0,349,0.04647926,2,Não
6530,2025011316,30135473275,10,CHATBOT,,2025-01-13T16:59:23.000Z,2025-01-13T16:59:55.000Z,0,32,0.00390872,3,Sim
187,2025061106,10527487657,11,URA,,2025-06-11T06:20:33.000Z,2025-06-11T06:29:12.000Z,0,519,0.06615169,3,Sim
6597,2025030403,30282789795,11,CHATBOT,,2025-03-04T03:08:45.000Z,2025-03-04T03:10:40.000Z,0,115,0.01118918,2,Não
190,2025031819,10572563758,5,URA,,2025-03-18T19:34:53.000Z,2025-03-18T19:40:27.000Z,0,334,0.00124039,3,Não
6668,2025020204,30518491445,3,URA,,2025-02-02T04:23:03.000Z,2025-02-02T04:37:59.000Z,0,896,0.17361700,2,Sim
192,2025012606,10575500753,3,URA,,2025-01-26T06:55:51.000Z,2025-01-26T07:02:49.000Z,0,418,0.02321409,2,Sim
6680,2025040605,30538050096,5,URA,,2025-04-06T05:33:42.000Z,2025-04-06T05:38:42.000Z,0,300,0.02554292,4,Não
6769,2025052405,30735292484,11,CHATBOT,,2025-05-24T05:00:50.000Z,2025-05-24T05:01:25.000Z,0,35,0.00545030,3,Sim
6898,2025032600,31138440869,3,CHATBOT,,2025-03-26T00:00:53.000Z,2025-03-26T00:04:45.000Z,0,232,0.04388279,3,Sim
3160,2025051922,19708853853,7,ATENDIMENTO ESPECIALIZADO,2,2025-05-19T22:42:46.000Z,2025-05-19T23:41:14.000Z,496,3508,0.78329878,2,Sim
3233,2025052015,19885158108,7,ATENDIMENTO ESPECIALIZADO,2,2025-05-20T15:30:52.000Z,2025-05-20T15:57:04.000Z,1124,1572,1.47771520,3,Não
3661,2025061508,21242286130,8,ATENDIMENTO ESPECIALIZADO,2,2025-06-15T09:02:18.000Z,2025-06-15T09:28:52.000Z,919,1594,1.47370603,3,Sim
3991,2025011107,22254330876,12,ATENDIMENTO ESPECIALIZADO,2,2025-01-11T07:32:36.000Z,2025-01-11T08:32:12.000Z,601,3576,0.65789773,4,Não
4916,2025030712,25239275930,8,ATENDIMENTO ESPECIALIZADO,2,2025-03-07T12:19:28.000Z,2025-03-07T12:53:18.000Z,644,2030,1.06069204,4,Sim
5048,2025041014,25599171869,7,ATENDIMENTO ESPECIALIZADO,2,2025-04-10T14:57:31.000Z,2025-04-10T16:04:27.000Z,1149,4016,4.34584290,,Sim
5099,2025060400,25729032202,3,ATENDIMENTO ESPECIALIZADO,2,2025-06-04T01:01:19.000Z,2025-06-04T02:11:11.000Z,899,4192,1.66027481,2,Sim
5240,2025062216,26131588966,11,ATENDIMENTO ESPECIALIZADO,2,2025-06-22T16:45:54.000Z,2025-06-22T17:00:18.000Z,560,864,0.06039913,3,Sim
5374,2025020223,26445249079,12,ATENDIMENTO ESPECIALIZADO,2,2025-02-03T00:07:48.000Z,2025-02-03T00:26:54.000Z,686,1146,1.21525966,2,Não
6398,2025062312,29703946344,12,ATENDIMENTO ESPECIALIZADO,2,2025-06-23T12:40:19.000Z,2025-06-23T13:25:58.000Z,475,2739,2.16213233,4,Não
6879,2025013001,31108666771,7,ATENDIMENTO ESPECIALIZADO,2,2025-01-30T02:12:28.000Z,2025-01-30T02:35:28.000Z,1074,1380,0.03434861,3,Sim
3574,2025052212,20898723927,8,ATENDIMENTO INICIAL,1,2025-05-22T12:39:36.000Z,2025-05-22T12:47:12.000Z,205,456,0.08755199,3,Sim
5071,2025012108,25637965057,9,ATENDIMENTO INICIAL,1,2025-01-21T09:00:31.000Z,2025-01-21T09:21:28.000Z,485,1257,0.85884475,2,Não
5169,2025020701,25939325988,8,ATENDIMENTO INICIAL,1,2025-02-07T01:41:37.000Z,2025-02-07T02:01:58.000Z,399,1221,0.62431733,3,Não
5428,2025061512,26637692521,9,ATENDIMENTO INICIAL,1,2025-06-15T13:04:25.000Z,2025-06-15T13:22:22.000Z,500,1077,0.70310431,3,Não
5511,2025031904,26856042196,13,ATENDIMENTO INICIAL,1,2025-03-19T04:08:50.000Z,2025-03-19T04:35:05.000Z,502,1575,1.07411298,3,Não
5665,2025020400,27321669801,6,ATENDIMENTO INICIAL,1,2025-02-04T00:11:24.000Z,2025-02-04T00:30:20.000Z,301,1136,0.11517154,4,Sim
6456,2025011818,29909815338,9,ATENDIMENTO INICIAL,1,2025-01-18T18:38:31.000Z,2025-01-18T19:02:19.000Z,536,1428,0.52714070,3,Não
6588,2025042717,30276529696,8,ATENDIMENTO INICIAL,1,2025-04-27T17:49:09.000Z,2025-04-27T18:00:38.000Z,378,689,0.53706197,4,Não
6590,2025032721,30276529696,8,ATENDIMENTO INICIAL,1,2025-03-27T21:12:15.000Z,2025-03-27T21:22:00.000Z,130,585,0.19664187,3,Não
6886,2025052011,31115763949,8,ATENDIMENTO INICIAL,1,2025-05-20T11:28:23.000Z,2025-05-20T11:52:45.000Z,348,1462,0.94794818,4,Sim
3240,2025032318,19887106048,13,ATENDIMENTO INICIAL,1,2025-03-23T18:57:41.000Z,2025-03-23T19:19:35.000Z,224,1314,0.84122226,3,Não
197,2025051009,10598053654,3,URA,,2025-05-10T09:25:43.000Z,2025-05-10T09:41:40.000Z,0,957,0.05724444,2,Não
198,2025062800,10602568204,3,URA,,2025-06-28T00:55:22.000Z,2025-06-28T01:12:17.000Z,0,1015,0.14613795,2,Não
199,2025021107,10603255078,9,URA,,2025-02-11T07:36:22.000Z,2025-02-11T07:50:55.000Z,0,873,0.06256138,3,Não
200,2025020319,10619930545,5,URA,,2025-02-03T19:19:31.000Z,2025-02-03T19:25:43.000Z,0,372,0.06847124,3,Não
7005,2025020620,31432724268,5,CHATBOT,,2025-02-06T20:08:53.000Z,2025-02-06T20:10:20.000Z,0,87,0.00541912,2,Sim
7036,2025042403,31495421249,6,URA,,2025-04-24T03:40:22.000Z,2025-04-24T03:55:15.000Z,0,893,0.07307509,5,Não
203,2025021013,10631268898,12,URA,,2025-02-10T13:57:31.000Z,2025-02-10T14:08:53.000Z,0,682,0.00199299,3,Não
7073,2025030300,31667281593,6,CHATBOT,,2025-03-03T00:22:14.000Z,2025-03-03T00:23:15.000Z,0,61,0.00352538,3,Não
7094,2025053015,31732624381,11,URA,,2025-05-30T15:13:56.000Z,2025-05-30T15:20:16.000Z,0,380,0.07225685,4,Sim
206,2025011420,10672110879,5,URA,,2025-01-14T20:42:23.000Z,2025-01-14T20:49:53.000Z,0,450,0.02842807,2,Não
7296,2025050704,32336938574,5,CHATBOT,,2025-05-07T04:07:28.000Z,2025-05-07T04:08:09.000Z,0,41,0.00006182,2,Sim
208,2025040523,10686455708,11,URA,,2025-04-05T23:48:49.000Z,2025-04-05T23:56:30.000Z,0,461,0.09178969,3,Sim
209,2025011221,10688365371,5,URA,,2025-01-12T21:33:28.000Z,2025-01-12T21:41:18.000Z,0,470,0.08276986,4,Sim
210,2025021901,10695464918,5,URA,,2025-02-19T01:04:27.000Z,2025-02-19T01:10:31.000Z,0,364,0.06381567,3,Não
7298,2025050612,32346718709,11,CHATBOT,,2025-05-06T12:07:15.000Z,2025-05-06T12:08:14.000Z,0,59,0.00410899,4,Não
212,2025062718,10720036204,6,URA,,2025-06-27T18:04:53.000Z,2025-06-27T18:12:05.000Z,0,432,0.03861238,3,Sim
213,2025030602,10723236967,4,URA,,2025-03-06T02:23:34.000Z,2025-03-06T02:30:40.000Z,0,426,0.03476735,3,Não
7332,2025011109,32517841607,6,CHATBOT,,2025-01-11T09:26:36.000Z,2025-01-11T09:27:57.000Z,0,81,0.01073047,2,Não
7388,2025040423,32630699901,10,CHATBOT,,2025-04-04T23:51:43.000Z,2025-04-04T23:53:09.000Z,0,86,0.01025559,5,Sim
7419,2025031712,32731894648,5,CHATBOT,,2025-03-17T12:59:10.000Z,2025-03-17T13:00:52.000Z,0,102,0.00646938,,Não
7514,2025052916,33034944470,3,URA,,2025-05-29T16:12:44.000Z,2025-05-29T16:21:37.000Z,0,533,0.09853864,2,Sim
240,2025061218,10789862181,9,URA,,2025-06-12T18:23:12.000Z,2025-06-12T18:38:37.000Z,0,925,0.12807798,3,Não
8217,2025031101,35108655657,10,CHATBOT,,2025-03-11T01:26:11.000Z,2025-03-11T01:27:43.000Z,0,92,0.00358087,3,Sim
244,2025021523,10800981949,3,URA,,2025-02-15T23:15:36.000Z,2025-02-15T23:22:19.000Z,0,403,0.05568571,3,Não
8276,2025051619,35249949688,8,CHATBOT,,2025-05-16T19:50:50.000Z,2025-05-16T19:52:30.000Z,0,100,0.00105001,3,Não
248,2025010222,10811483614,10,URA,,2025-01-02T22:40:08.000Z,2025-01-02T22:48:44.000Z,0,516,0.00117580,2,Não
8331,2025021322,35368185954,7,CHATBOT,,2025-02-13T22:55:27.000Z,2025-02-13T22:56:59.000Z,0,92,0.01373105,4,Não
8365,2025032618,35434671498,3,URA,,2025-03-26T18:22:48.000Z,2025-03-26T18:38:28.000Z,0,940,0.01187422,3,Não
8489,2025053002,35813699373,10,URA,,2025-05-30T02:06:29.000Z,2025-05-30T02:14:03.000Z,0,454,0.07104612,2,Não
8605,2025021519,36159287735,5,CHATBOT,,2025-02-15T19:04:04.000Z,2025-02-15T19:05:41.000Z,0,97,0.01329154,,Sim
8656,2025013123,36298758556,9,CHATBOT,,2025-01-31T23:38:51.000Z,2025-01-31T23:42:46.000Z,0,235,0.03077410,3,Não
258,2025062518,10814946928,5,URA,,2025-06-25T18:11:03.000Z,2025-06-25T18:19:21.000Z,0,498,0.07317956,2,Sim
8767,2025040121,36596261501,10,CHATBOT,,2025-04-01T21:28:12.000Z,2025-04-01T21:29:55.000Z,0,103,0.00473422,3,Sim
8802,2025061115,36780570758,11,URA,,2025-06-11T15:41:48.000Z,2025-06-11T15:48:11.000Z,0,383,0.03524853,2,Não
8838,2025012019,36878956171,12,CHATBOT,,2025-01-20T19:32:14.000Z,2025-01-20T19:34:11.000Z,0,117,0.01991056,2,Sim
275,2025041108,10868181692,5,URA,,2025-04-11T08:46:18.000Z,2025-04-11T08:54:21.000Z,0,483,0.07171022,3,Sim
276,2025020323,10870419962,7,CHATBOT,,2025-02-03T23:12:16.000Z,2025-02-03T23:15:10.000Z,0,174,0.01932959,2,Sim
277,2025011722,10878545525,11,URA,,2025-01-17T22:26:42.000Z,2025-01-17T22:36:24.000Z,0,582,0.03025936,3,Não
9538,2025012422,38977881794,3,URA,,2025-01-24T22:08:42.000Z,2025-01-24T22:15:53.000Z,0,431,0.03689813,4,Sim
9620,2025050906,39273572622,6,CHATBOT,,2025-05-09T06:18:54.000Z,2025-05-09T06:20:12.000Z,0,78,0.00201121,2,Não
9687,2025041515,39403028561,11,URA,,2025-04-15T15:15:37.000Z,2025-04-15T15:23:34.000Z,0,477,0.04857468,2,Não
9733,2025051915,39549638080,10,URA,,2025-05-19T15:37:29.000Z,2025-05-19T15:41:43.000Z,0,254,0.00365239,3,Sim
9754,2025022805,39617301277,10,CHATBOT,,2025-02-28T05:29:13.000Z,2025-02-28T05:30:10.000Z,0,57,0.00339999,2,Sim
9932,2025030110,40132603084,11,CHATBOT,,2025-03-01T10:28:42.000Z,2025-03-01T10:30:06.000Z,0,84,0.00434680,3,Não
288,2025010216,10903894288,9,CHATBOT,,2025-01-02T16:44:23.000Z,2025-01-02T16:48:09.000Z,0,226,0.00306268,3,Não
9934,2025051521,40140505618,9,CHATBOT,,2025-05-15T21:58:09.000Z,2025-05-15T22:01:22.000Z,0,193,0.00835193,2,Não
7455,2025032808,32858097950,7,ATENDIMENTO ESPECIALIZADO,2,2025-03-28T08:54:57.000Z,2025-03-28T09:34:29.000Z,304,2372,2.55831835,2,Sim
8283,2025040720,35249949688,8,ATENDIMENTO ESPECIALIZADO,2,2025-04-07T20:45:18.000Z,2025-04-07T21:16:08.000Z,922,1850,1.94886007,3,Sim
8405,2025030902,35573319642,8,ATENDIMENTO ESPECIALIZADO,2,2025-03-09T02:50:34.000Z,2025-03-09T03:01:08.000Z,430,634,0.05562611,3,Sim
8564,2025042404,35991894584,3,ATENDIMENTO ESPECIALIZADO,2,2025-04-24T04:52:04.000Z,2025-04-24T06:09:20.000Z,650,4636,3.36758269,3,Não
9662,2025041216,39359624894,3,ATENDIMENTO ESPECIALIZADO,2,2025-04-12T16:30:49.000Z,2025-04-12T17:20:41.000Z,858,2992,2.27412241,3,Sim
9869,2025030516,39875948107,7,ATENDIMENTO ESPECIALIZADO,2,2025-03-05T16:36:58.000Z,2025-03-05T17:46:18.000Z,943,4160,3.47047352,2,Sim
7311,2025021620,32397774796,9,ATENDIMENTO INICIAL,1,2025-02-16T20:30:06.000Z,2025-02-16T20:47:03.000Z,331,1017,0.44478038,2,Não
8230,2025032408,35148883202,4,ATENDIMENTO INICIAL,1,2025-03-24T08:10:17.000Z,2025-03-24T08:54:07.000Z,467,2630,1.95544902,2,Não
8252,2025031621,35199257883,13,ATENDIMENTO INICIAL,1,2025-03-16T21:51:06.000Z,2025-03-16T22:14:21.000Z,454,1395,0.77495031,2,Não
8309,2025062207,35322893451,6,ATENDIMENTO INICIAL,1,2025-06-22T07:21:47.000Z,2025-06-22T07:41:17.000Z,267,1170,0.02280302,,Não
8351,2025040704,35392484480,8,ATENDIMENTO INICIAL,1,2025-04-07T04:27:20.000Z,2025-04-07T04:47:16.000Z,124,1196,0.51080554,4,Não
8397,2025061004,35573319642,8,ATENDIMENTO INICIAL,1,2025-06-10T04:31:56.000Z,2025-06-10T04:40:08.000Z,47,492,0.21502662,3,Não
8881,2025022806,36981145139,9,ATENDIMENTO INICIAL,1,2025-02-28T06:50:56.000Z,2025-02-28T07:23:05.000Z,267,1929,0.47156387,4,Não
