data,ano,mes,dia,dia_semana_num,nome_dia_semana,nome_mes,fim_de_semana,trimestre,semestre,hora_do_dia,turno,sk_tempo
2024-02-07,2024,2,7,4,Quarta-feira,Fevereiro,Não,1,1,4,Madrugada,2024020704
2024-02-08,2024,2,8,5,Quinta-feira,Fevereiro,Não,1,1,5,Madrugada,2024020805
2024-02-09,2024,2,9,6,Sexta-feira,Fevereiro,Não,1,1,3,Madrugada,2024020903
2024-02-10,2024,2,10,7,Sábado,Fevereiro,Sim,1,1,4,Madrugada,2024021004
2024-02-11,2024,2,11,1,Domingo,Fevereiro,Sim,1,1,5,Madrugada,2024021105
2024-02-12,2024,2,12,2,Segunda-feira,Fevereiro,Não,1,1,3,Madrugada,2024021203
2024-02-13,2024,2,13,3,Terça-feira,Fevereiro,Não,1,1,4,Madrugada,2024021304
2024-02-14,2024,2,14,4,Quarta-feira,Fevereiro,Não,1,1,5,Madrugada,2024021405
2024-02-15,2024,2,15,5,Quinta-feira,Fevereiro,Não,1,1,3,Madrugada,2024021503
2024-02-16,2024,2,16,6,Sexta-feira,Fevereiro,Não,1,1,4,Madrugada,2024021604
2024-02-17,2024,2,17,7,Sábado,Fevereiro,Sim,1,1,5,Madrugada,2024021705
2024-02-18,2024,2,18,1,Domingo,Fevereiro,Sim,1,1,3,Madrugada,2024021803
2024-02-19,2024,2,19,2,Segunda-feira,Fevereiro,Não,1,1,4,Madrugada,2024021904
2024-02-20,2024,2,20,3,Terça-feira,Fevereiro,Não,1,1,5,Madrugada,2024022005
2024-02-21,2024,2,21,4,Quarta-feira,Fevereiro,Não,1,1,3,Madrugada,2024022103
2024-02-22,2024,2,22,5,Quinta-feira,Fevereiro,Não,1,1,4,Madrugada,2024022204
2024-02-23,2024,2,23,6,Sexta-feira,Fevereiro,Não,1,1,5,Madrugada,2024022305
2024-02-24,2024,2,24,7,Sábado,Fevereiro,Sim,1,1,3,Madrugada,2024022403
2024-02-25,2024,2,25,1,Domingo,Fevereiro,Sim,1,1,4,Madrugada,2024022504
2024-02-26,2024,2,26,2,Segunda-feira,Fevereiro,Não,1,1,5,Madrugada,2024022605
2024-02-27,2024,2,27,3,Terça-feira,Fevereiro,Não,1,1,3,Madrugada,2024022703
2024-02-28,2024,2,28,4,Quarta-feira,Fevereiro,Não,1,1,4,Madrugada,2024022804
2024-02-29,2024,2,29,5,Quinta-feira,Fevereiro,Não,1,1,5,Madrugada,2024022905
2024-03-01,2024,3,1,6,Sexta-feira,Março,Não,1,1,3,Madrugada,2024030103
2024-03-02,2024,3,2,7,Sábado,Março,Sim,1,1,4,Madrugada,2024030204
2024-03-03,2024,3,3,1,Domingo,Março,Sim,1,1,5,Madrugada,2024030305
2024-03-04,2024,3,4,2,Segunda-feira,Março,Não,1,1,3,Madrugada,2024030403
2024-03-05,2024,3,5,3,Terça-feira,Março,Não,1,1,4,Madrugada,2024030504
2024-03-06,2024,3,6,4,Quarta-feira,Março,Não,1,1,5,Madrugada,2024030605
2024-03-07,2024,3,7,5,Quinta-feira,Março,Não,1,1,3,Madrugada,2024030703
2024-03-08,2024,3,8,6,Sexta-feira,Março,Não,1,1,4,Madrugada,2024030804
2024-03-09,2024,3,9,7,Sábado,Março,Sim,1,1,5,Madrugada,2024030905
2024-03-10,2024,3,10,1,Domingo,Março,Sim,1,1,3,Madrugada,2024031003
2024-03-11,2024,3,11,2,Segunda-feira,Março,Não,1,1,4,Madrugada,2024031104
2024-03-12,2024,3,12,3,Terça-feira,Março,Não,1,1,5,Madrugada,2024031205
2024-03-13,2024,3,13,4,Quarta-feira,Março,Não,1,1,3,Madrugada,2024031303
2024-03-14,2024,3,14,5,Quinta-feira,Março,Não,1,1,4,Madrugada,2024031404
2024-03-15,2024,3,15,6,Sexta-feira,Março,Não,1,1,5,Madrugada,2024031505
2024-03-16,2024,3,16,7,Sábado,Março,Sim,1,1,3,Madrugada,2024031603
2024-03-17,2024,3,17,1,Domingo,Março,Sim,1,1,4,Madrugada,2024031704
2024-03-18,2024,3,18,2,Segunda-feira,Março,Não,1,1,5,Madrugada,2024031805
2024-03-19,2024,3,19,3,Terça-feira,Março,Não,1,1,3,Madrugada,2024031903
2024-03-20,2024,3,20,4,Quarta-feira,Março,Não,1,1,4,Madrugada,2024032004
2024-03-21,2024,3,21,5,Quinta-feira,Março,Não,1,1,5,Madrugada,2024032105
2024-03-22,2024,3,22,6,Sexta-feira,Março,Não,1,1,3,Madrugada,2024032203
2024-03-23,2024,3,23,7,Sábado,Março,Sim,1,1,4,Madrugada,2024032304
2024-03-24,2024,3,24,1,Domingo,Março,Sim,1,1,5,Madrugada,2024032405
2024-03-25,2024,3,25,2,Segunda-feira,Março,Não,1,1,3,Madrugada,2024032503
2024-03-26,2024,3,26,3,Terça-feira,Março,Não,1,1,4,Madrugada,2024032604
2024-03-27,2024,3,27,4,Quarta-feira,Março,Não,1,1,5,Madrugada,2024032705
2024-03-28,2024,3,28,5,Quinta-feira,Março,Não,1,1,3,Madrugada,2024032803
2024-03-29,2024,3,29,6,Sexta-feira,Março,Não,1,1,4,Madrugada,2024032904
2024-03-30,2024,3,30,7,Sábado,Março,Sim,1,1,5,Madrugada,2024033005
2024-03-31,2024,3,31,1,Domingo,Março,Sim,1,1,3,Madrugada,2024033103
2024-04-01,2024,4,1,2,Segunda-feira,Abril,Não,2,1,4,Madrugada,2024040104
2024-04-02,2024,4,2,3,Terça-feira,Abril,Não,2,1,5,Madrugada,2024040205
2024-04-03,2024,4,3,4,Quarta-feira,Abril,Não,2,1,3,Madrugada,2024040303
2024-04-04,2024,4,4,5,Quinta-feira,Abril,Não,2,1,4,Madrugada,2024040404
2024-04-05,2024,4,5,6,Sexta-feira,Abril,Não,2,1,5,Madrugada,2024040505
2024-04-06,2024,4,6,7,Sábado,Abril,Sim,2,1,3,Madrugada,2024040603
2024-04-07,2024,4,7,1,Domingo,Abril,Sim,2,1,4,Madrugada,2024040704
2024-04-08,2024,4,8,2,Segunda-feira,Abril,Não,2,1,5,Madrugada,2024040805
2024-04-09,2024,4,9,3,Terça-feira,Abril,Não,2,1,3,Madrugada,2024040903
2024-04-10,2024,4,10,4,Quarta-feira,Abril,Não,2,1,4,Madrugada,2024041004
2024-04-11,2024,4,11,5,Quinta-feira,Abril,Não,2,1,5,Madrugada,2024041105
2024-04-12,2024,4,12,6,Sexta-feira,Abril,Não,2,1,3,Madrugada,2024041203
2024-04-13,2024,4,13,7,Sábado,Abril,Sim,2,1,4,Madrugada,2024041304
2024-04-14,2024,4,14,1,Domingo,Abril,Sim,2,1,5,Madrugada,2024041405
2024-04-15,2024,4,15,2,Segunda-feira,Abril,Não,2,1,3,Madrugada,2024041503
2024-04-16,2024,4,16,3,Terça-feira,Abril,Não,2,1,4,Madrugada,2024041604
2024-04-17,2024,4,17,4,Quarta-feira,Abril,Não,2,1,5,Madrugada,2024041705
2024-04-18,2024,4,18,5,Quinta-feira,Abril,Não,2,1,3,Madrugada,2024041803
2024-04-19,2024,4,19,6,Sexta-feira,Abril,Não,2,1,4,Madrugada,2024041904
2024-04-20,2024,4,20,7,Sábado,Abril,Sim,2,1,5,Madrugada,2024042005
2024-04-21,2024,4,21,1,Domingo,Abril,Sim,2,1,3,Madrugada,2024042103
2024-04-22,2024,4,22,2,Segunda-feira,Abril,Não,2,1,4,Madrugada,2024042204
2024-04-23,2024,4,23,3,Terça-feira,Abril,Não,2,1,5,Madrugada,2024042305
2024-04-24,2024,4,24,4,Quarta-feira,Abril,Não,2,1,3,Madrugada,2024042403
2024-04-25,2024,4,25,5,Quinta-feira,Abril,Não,2,1,4,Madrugada,2024042504
2024-04-26,2024,4,26,6,Sexta-feira,Abril,Não,2,1,5,Madrugada,2024042605
2024-04-27,2024,4,27,7,Sábado,Abril,Sim,2,1,3,Madrugada,2024042703
2024-04-28,2024,4,28,1,Domingo,Abril,Sim,2,1,4,Madrugada,2024042804
2024-04-29,2024,4,29,2,Segunda-feira,Abril,Não,2,1,5,Madrugada,2024042905
2024-04-30,2024,4,30,3,Terça-feira,Abril,Não,2,1,3,Madrugada,2024043003
2024-05-01,2024,5,1,4,Quarta-feira,Maio,Não,2,1,4,Madrugada,2024050104
2024-05-02,2024,5,2,5,Quinta-feira,Maio,Não,2,1,5,Madrugada,2024050205
2024-05-03,2024,5,3,6,Sexta-feira,Maio,Não,2,1,3,Madrugada,2024050303
2024-05-04,2024,5,4,7,Sábado,Maio,Sim,2,1,4,Madrugada,2024050404
2024-05-05,2024,5,5,1,Domingo,Maio,Sim,2,1,5,Madrugada,2024050505
2024-05-06,2024,5,6,2,Segunda-feira,Maio,Não,2,1,3,Madrugada,2024050603
2024-05-07,2024,5,7,3,Terça-feira,Maio,Não,2,1,4,Madrugada,2024050704
2024-05-08,2024,5,8,4,Quarta-feira,Maio,Não,2,1,5,Madrugada,2024050805
2024-05-09,2024,5,9,5,Quinta-feira,Maio,Não,2,1,3,Madrugada,2024050903
2024-05-10,2024,5,10,6,Sexta-feira,Maio,Não,2,1,4,Madrugada,2024051004
2024-05-11,2024,5,11,7,Sábado,Maio,Sim,2,1,5,Madrugada,2024051105
2024-05-12,2024,5,12,1,Domingo,Maio,Sim,2,1,3,Madrugada,2024051203
2024-05-13,2024,5,13,2,Segunda-feira,Maio,Não,2,1,4,Madrugada,2024051304
2024-05-14,2024,5,14,3,Terça-feira,Maio,Não,2,1,5,Madrugada,2024051405
2024-05-15,2024,5,15,4,Quarta-feira,Maio,Não,2,1,3,Madrugada,2024051503
2024-05-16,2024,5,16,5,Quinta-feira,Maio,Não,2,1,4,Madrugada,2024051604
2024-05-17,2024,5,17,6,Sexta-feira,Maio,Não,2,1,5,Madrugada,2024051705
2024-05-18,2024,5,18,7,Sábado,Maio,Sim,2,1,3,Madrugada,2024051803
2024-05-19,2024,5,19,1,Domingo,Maio,Sim,2,1,4,Madrugada,2024051904
2024-05-20,2024,5,20,2,Segunda-feira,Maio,Não,2,1,5,Madrugada,2024052005
2024-05-21,2024,5,21,3,Terça-feira,Maio,Não,2,1,3,Madrugada,2024052103
2024-05-22,2024,5,22,4,Quarta-feira,Maio,Não,2,1,4,Madrugada,2024052204
2024-05-23,2024,5,23,5,Quinta-feira,Maio,Não,2,1,5,Madrugada,2024052305
2024-05-24,2024,5,24,6,Sexta-feira,Maio,Não,2,1,3,Madrugada,2024052403
2024-05-25,2024,5,25,7,Sábado,Maio,Sim,2,1,4,Madrugada,2024052504
2024-05-26,2024,5,26,1,Domingo,Maio,Sim,2,1,5,Madrugada,2024052605
2024-05-27,2024,5,27,2,Segunda-feira,Maio,Não,2,1,3,Madrugada,2024052703
2024-05-28,2024,5,28,3,Terça-feira,Maio,Não,2,1,4,Madrugada,2024052804
2024-05-29,2024,5,29,4,Quarta-feira,Maio,Não,2,1,5,Madrugada,2024052905
2024-05-30,2024,5,30,5,Quinta-feira,Maio,Não,2,1,3,Madrugada,2024053003
2024-05-31,2024,5,31,6,Sexta-feira,Maio,Não,2,1,4,Madrugada,2024053104
2024-06-01,2024,6,1,7,Sábado,Junho,Sim,2,1,5,Madrugada,2024060105
2024-06-02,2024,6,2,1,Domingo,Junho,Sim,2,1,3,Madrugada,2024060203
2024-06-03,2024,6,3,2,Segunda-feira,Junho,Não,2,1,4,Madrugada,2024060304
2024-06-04,2024,6,4,3,Terça-feira,Junho,Não,2,1,5,Madrugada,2024060405
2024-06-05,2024,6,5,4,Quarta-feira,Junho,Não,2,1,3,Madrugada,2024060503
2024-06-06,2024,6,6,5,Quinta-feira,Junho,Não,2,1,4,Madrugada,2024060604
2024-06-07,2024,6,7,6,Sexta-feira,Junho,Não,2,1,5,Madrugada,2024060705
2024-06-08,2024,6,8,7,Sábado,Junho,Sim,2,1,3,Madrugada,2024060803
2024-06-09,2024,6,9,1,Domingo,Junho,Sim,2,1,4,Madrugada,2024060904
2024-06-10,2024,6,10,2,Segunda-feira,Junho,Não,2,1,5,Madrugada,2024061005
2024-06-11,2024,6,11,3,Terça-feira,Junho,Não,2,1,3,Madrugada,2024061103
2024-06-12,2024,6,12,4,Quarta-feira,Junho,Não,2,1,4,Madrugada,2024061204
2024-06-13,2024,6,13,5,Quinta-feira,Junho,Não,2,1,5,Madrugada,2024061305
2024-06-14,2024,6,14,6,Sexta-feira,Junho,Não,2,1,3,Madrugada,2024061403
2024-06-15,2024,6,15,7,Sábado,Junho,Sim,2,1,4,Madrugada,2024061504
2024-06-16,2024,6,16,1,Domingo,Junho,Sim,2,1,5,Madrugada,2024061605
2024-06-17,2024,6,17,2,Segunda-feira,Junho,Não,2,1,3,Madrugada,2024061703
2024-06-18,2024,6,18,3,Terça-feira,Junho,Não,2,1,4,Madrugada,2024061804
2024-06-19,2024,6,19,4,Quarta-feira,Junho,Não,2,1,5,Madrugada,2024061905
2024-06-20,2024,6,20,5,Quinta-feira,Junho,Não,2,1,3,Madrugada,2024062003
2024-06-21,2024,6,21,6,Sexta-feira,Junho,Não,2,1,4,Madrugada,2024062104
2024-06-22,2024,6,22,7,Sábado,Junho,Sim,2,1,5,Madrugada,2024062205
2024-06-23,2024,6,23,1,Domingo,Junho,Sim,2,1,3,Madrugada,2024062303
2024-06-24,2024,6,24,2,Segunda-feira,Junho,Não,2,1,4,Madrugada,2024062404
2024-06-25,2024,6,25,3,Terça-feira,Junho,Não,2,1,5,Madrugada,2024062505
2024-06-26,2024,6,26,4,Quarta-feira,Junho,Não,2,1,3,Madrugada,2024062603
2024-06-27,2024,6,27,5,Quinta-feira,Junho,Não,2,1,4,Madrugada,2024062704
2024-06-28,2024,6,28,6,Sexta-feira,Junho,Não,2,1,5,Madrugada,2024062805
2024-06-29,2024,6,29,7,Sábado,Junho,Sim,2,1,3,Madrugada,2024062903
2024-06-30,2024,6,30,1,Domingo,Junho,Sim,2,1,4,Madrugada,2024063004
2024-07-01,2024,7,1,2,Segunda-feira,Julho,Não,3,2,5,Madrugada,2024070105
2024-07-02,2024,7,2,3,Terça-feira,Julho,Não,3,2,3,Madrugada,2024070203
2024-07-03,2024,7,3,4,Quarta-feira,Julho,Não,3,2,4,Madrugada,2024070304
2024-07-04,2024,7,4,5,Quinta-feira,Julho,Não,3,2,5,Madrugada,2024070405
2024-07-05,2024,7,5,6,Sexta-feira,Julho,Não,3,2,3,Madrugada,2024070503
2024-07-06,2024,7,6,7,Sábado,Julho,Sim,3,2,4,Madrugada,2024070604
2024-07-07,2024,7,7,1,Domingo,Julho,Sim,3,2,5,Madrugada,2024070705
2024-07-08,2024,7,8,2,Segunda-feira,Julho,Não,3,2,3,Madrugada,2024070803
2024-07-09,2024,7,9,3,Terça-feira,Julho,Não,3,2,4,Madrugada,2024070904
2024-07-10,2024,7,10,4,Quarta-feira,Julho,Não,3,2,5,Madrugada,2024071005
2024-07-11,2024,7,11,5,Quinta-feira,Julho,Não,3,2,3,Madrugada,2024071103
2024-07-12,2024,7,12,6,Sexta-feira,Julho,Não,3,2,4,Madrugada,2024071204
2024-07-13,2024,7,13,7,Sábado,Julho,Sim,3,2,5,Madrugada,2024071305
2024-07-14,2024,7,14,1,Domingo,Julho,Sim,3,2,3,Madrugada,2024071403
2024-07-15,2024,7,15,2,Segunda-feira,Julho,Não,3,2,4,Madrugada,2024071504
2024-07-16,2024,7,16,3,Terça-feira,Julho,Não,3,2,5,Madrugada,2024071605
2024-07-17,2024,7,17,4,Quarta-feira,Julho,Não,3,2,3,Madrugada,2024071703
2024-07-18,2024,7,18,5,Quinta-feira,Julho,Não,3,2,4,Madrugada,2024071804
2024-07-19,2024,7,19,6,Sexta-feira,Julho,Não,3,2,5,Madrugada,2024071905
2024-07-20,2024,7,20,7,Sábado,Julho,Sim,3,2,3,Madrugada,2024072003
2024-07-21,2024,7,21,1,Domingo,Julho,Sim,3,2,4,Madrugada,2024072104
2024-07-22,2024,7,22,2,Segunda-feira,Julho,Não,3,2,5,Madrugada,2024072205
2024-07-23,2024,7,23,3,Terça-feira,Julho,Não,3,2,3,Madrugada,2024072303
2024-07-24,2024,7,24,4,Quarta-feira,Julho,Não,3,2,4,Madrugada,2024072404
2024-07-25,2024,7,25,5,Quinta-feira,Julho,Não,3,2,5,Madrugada,2024072505
2024-07-26,2024,7,26,6,Sexta-feira,Julho,Não,3,2,3,Madrugada,2024072603
2024-07-27,2024,7,27,7,Sábado,Julho,Sim,3,2,4,Madrugada,2024072704
2024-07-28,2024,7,28,1,Domingo,Julho,Sim,3,2,5,Madrugada,2024072805
2024-07-29,2024,7,29,2,Segunda-feira,Julho,Não,3,2,3,Madrugada,2024072903
2024-07-30,2024,7,30,3,Terça-feira,Julho,Não,3,2,4,Madrugada,2024073004
2024-07-31,2024,7,31,4,Quarta-feira,Julho,Não,3,2,5,Madrugada,2024073105
2024-08-01,2024,8,1,5,Quinta-feira,Agosto,Não,3,2,3,Madrugada,2024080103
2024-08-02,2024,8,2,6,Sexta-feira,Agosto,Não,3,2,4,Madrugada,2024080204
2024-08-03,2024,8,3,7,Sábado,Agosto,Sim,3,2,5,Madrugada,2024080305
2024-08-04,2024,8,4,1,Domingo,Agosto,Sim,3,2,3,Madrugada,2024080403
2024-08-05,2024,8,5,2,Segunda-feira,Agosto,Não,3,2,4,Madrugada,2024080504
2024-08-06,2024,8,6,3,Terça-feira,Agosto,Não,3,2,5,Madrugada,2024080605
2024-08-07,2024,8,7,4,Quarta-feira,Agosto,Não,3,2,3,Madrugada,2024080703
2024-08-08,2024,8,8,5,Quinta-feira,Agosto,Não,3,2,4,Madrugada,2024080804
2024-08-09,2024,8,9,6,Sexta-feira,Agosto,Não,3,2,5,Madrugada,2024080905
2024-08-10,2024,8,10,7,Sábado,Agosto,Sim,3,2,3,Madrugada,2024081003
2024-08-11,2024,8,11,1,Domingo,Agosto,Sim,3,2,4,Madrugada,2024081104
2024-08-12,2024,8,12,2,Segunda-feira,Agosto,Não,3,2,5,Madrugada,2024081205
2024-08-13,2024,8,13,3,Terça-feira,Agosto,Não,3,2,3,Madrugada,2024081303
2024-08-14,2024,8,14,4,Quarta-feira,Agosto,Não,3,2,4,Madrugada,2024081404
2024-08-15,2024,8,15,5,Quinta-feira,Agosto,Não,3,2,5,Madrugada,2024081505
2024-08-16,2024,8,16,6,Sexta-feira,Agosto,Não,3,2,3,Madrugada,2024081603
2024-08-17,2024,8,17,7,Sábado,Agosto,Sim,3,2,4,Madrugada,2024081704
2024-08-18,2024,8,18,1,Domingo,Agosto,Sim,3,2,5,Madrugada,2024081805
2024-08-19,2024,8,19,2,Segunda-feira,Agosto,Não,3,2,3,Madrugada,2024081903
2024-08-20,2024,8,20,3,Terça-feira,Agosto,Não,3,2,4,Madrugada,2024082004
2024-08-21,2024,8,21,4,Quarta-feira,Agosto,Não,3,2,5,Madrugada,2024082105
2024-08-22,2024,8,22,5,Quinta-feira,Agosto,Não,3,2,3,Madrugada,2024082203
2024-08-23,2024,8,23,6,Sexta-feira,Agosto,Não,3,2,4,Madrugada,2024082304
2024-08-24,2024,8,24,7,Sábado,Agosto,Sim,3,2,5,Madrugada,2024082405
2024-08-25,2024,8,25,1,Domingo,Agosto,Sim,3,2,3,Madrugada,2024082503
2024-08-26,2024,8,26,2,Segunda-feira,Agosto,Não,3,2,4,Madrugada,2024082604
2024-08-27,2024,8,27,3,Terça-feira,Agosto,Não,3,2,5,Madrugada,2024082705
2024-08-28,2024,8,28,4,Quarta-feira,Agosto,Não,3,2,3,Madrugada,2024082803
2024-08-29,2024,8,29,5,Quinta-feira,Agosto,Não,3,2,4,Madrugada,2024082904
2024-08-30,2024,8,30,6,Sexta-feira,Agosto,Não,3,2,5,Madrugada,2024083005
2024-08-31,2024,8,31,7,Sábado,Agosto,Sim,3,2,3,Madrugada,2024083103
2024-09-01,2024,9,1,1,Domingo,Setembro,Sim,3,2,4,Madrugada,2024090104
2024-09-02,2024,9,2,2,Segunda-feira,Setembro,Não,3,2,5,Madrugada,2024090205
2024-09-03,2024,9,3,3,Terça-feira,Setembro,Não,3,2,3,Madrugada,2024090303
2024-09-04,2024,9,4,4,Quarta-feira,Setembro,Não,3,2,4,Madrugada,2024090404
2024-09-05,2024,9,5,5,Quinta-feira,Setembro,Não,3,2,5,Madrugada,2024090505
2024-09-06,2024,9,6,6,Sexta-feira,Setembro,Não,3,2,3,Madrugada,2024090603
2024-09-07,2024,9,7,7,Sábado,Setembro,Sim,3,2,4,Madrugada,2024090704
2024-09-08,2024,9,8,1,Domingo,Setembro,Sim,3,2,5,Madrugada,2024090805
2024-09-09,2024,9,9,2,Segunda-feira,Setembro,Não,3,2,3,Madrugada,2024090903
2024-09-10,2024,9,10,3,Terça-feira,Setembro,Não,3,2,4,Madrugada,2024091004
2024-09-11,2024,9,11,4,Quarta-feira,Setembro,Não,3,2,5,Madrugada,2024091105
2024-09-12,2024,9,12,5,Quinta-feira,Setembro,Não,3,2,3,Madrugada,2024091203
2024-09-13,2024,9,13,6,Sexta-feira,Setembro,Não,3,2,4,Madrugada,2024091304
2024-09-14,2024,9,14,7,Sábado,Setembro,Sim,3,2,5,Madrugada,2024091405
2024-09-15,2024,9,15,1,Domingo,Setembro,Sim,3,2,3,Madrugada,2024091503
2024-09-16,2024,9,16,2,Segunda-feira,Setembro,Não,3,2,4,Madrugada,2024091604
2024-09-17,2024,9,17,3,Terça-feira,Setembro,Não,3,2,5,Madrugada,2024091705
2024-09-18,2024,9,18,4,Quarta-feira,Setembro,Não,3,2,3,Madrugada,2024091803
2024-09-19,2024,9,19,5,Quinta-feira,Setembro,Não,3,2,4,Madrugada,2024091904
2024-09-20,2024,9,20,6,Sexta-feira,Setembro,Não,3,2,5,Madrugada,2024092005
2024-09-21,2024,9,21,7,Sábado,Setembro,Sim,3,2,3,Madrugada,2024092103
2024-09-22,2024,9,22,1,Domingo,Setembro,Sim,3,2,4,Madrugada,2024092204
2024-09-23,2024,9,23,2,Segunda-feira,Setembro,Não,3,2,5,Madrugada,2024092305
2024-09-24,2024,9,24,3,Terça-feira,Setembro,Não,3,2,3,Madrugada,2024092403
2024-09-25,2024,9,25,4,Quarta-feira,Setembro,Não,3,2,4,Madrugada,2024092504
2024-09-26,2024,9,26,5,Quinta-feira,Setembro,Não,3,2,5,Madrugada,2024092605
2024-09-27,2024,9,27,6,Sexta-feira,Setembro,Não,3,2,3,Madrugada,2024092703
2024-09-28,2024,9,28,7,Sábado,Setembro,Sim,3,2,4,Madrugada,2024092804
2024-09-29,2024,9,29,1,Domingo,Setembro,Sim,3,2,5,Madrugada,2024092905
2024-09-30,2024,9,30,2,Segunda-feira,Setembro,Não,3,2,3,Madrugada,2024093003
2024-10-01,2024,10,1,3,Terça-feira,Outubro,Não,4,2,4,Madrugada,2024100104
2024-10-02,2024,10,2,4,Quarta-feira,Outubro,Não,4,2,5,Madrugada,2024100205
2024-10-03,2024,10,3,5,Quinta-feira,Outubro,Não,4,2,3,Madrugada,2024100303
2024-10-04,2024,10,4,6,Sexta-feira,Outubro,Não,4,2,4,Madrugada,2024100404
2024-10-05,2024,10,5,7,Sábado,Outubro,Sim,4,2,5,Madrugada,2024100505
2024-10-06,2024,10,6,1,Domingo,Outubro,Sim,4,2,3,Madrugada,2024100603
2024-10-07,2024,10,7,2,Segunda-feira,Outubro,Não,4,2,4,Madrugada,2024100704
2024-10-08,2024,10,8,3,Terça-feira,Outubro,Não,4,2,5,Madrugada,2024100805
2024-10-09,2024,10,9,4,Quarta-feira,Outubro,Não,4,2,3,Madrugada,2024100903
2024-10-10,2024,10,10,5,Quinta-feira,Outubro,Não,4,2,4,Madrugada,2024101004
2024-10-11,2024,10,11,6,Sexta-feira,Outubro,Não,4,2,5,Madrugada,2024101105
2024-10-12,2024,10,12,7,Sábado,Outubro,Sim,4,2,3,Madrugada,2024101203
2024-10-13,2024,10,13,1,Domingo,Outubro,Sim,4,2,4,Madrugada,2024101304
2024-10-14,2024,10,14,2,Segunda-feira,Outubro,Não,4,2,5,Madrugada,2024101405
2024-10-15,2024,10,15,3,Terça-feira,Outubro,Não,4,2,3,Madrugada,2024101503
